SPR400_DPL;SPR400_Effort;KistlerKBeam_8396A050CTTA00_5506138_X;KistlerKBeam_8396A050CTTA00_5506138_Y;KistlerKBeam_8396A050CTTA00_5506138_Z;Laser_Point_uEpsilon_OptNCDT_1401_1;Laser_Point_uEpsilon_OptNCDT_1401_2;Laser_Point_uEpsilon_OptNCDT_1401_3;DMMC_6300kN_ForgeAddicctt
0;-4,084759929;-0,835919606;0,743906961;-0,169686051;60;260;260;1014,105889
0;-7,204616218;-0,822610091;0,740315899;-0,190212456;60;260;260;1008,28177
0;-6,698871134;-0,869395054;0,7000162;-0,181357928;60;260;260;1014,499263
0;-6,331056517;-0,833903013;0,733931788;-0,16163648;60;260;260;1007,582438
0;0,112268843;-0,845195935;0,735527815;-0,194237241;60;260;260;1006,883107
0;-5,707085275;-0,878671383;0,713981442;-0,1781381;60;260;260;1008,598654
0;2,936561294;-0,850035759;0,769842412;-0,161234002;60;260;260;1010,379764
0;-3,158655099;-0,809300575;0,698021166;-0,170491008;60;260;260;1010,423472
0;-6,153717324;-0,860925362;0,733532781;-0,158014173;60;260;260;1008,074156
0;-0,62336071;-0,837532881;0,777822551;-0,187797584;60;260;260;1011,559886
0;-4,938615395;-0,837129562;0,7518871;-0,191017413;60;260;260;1007,997666
0;-2,672614242;-0,839952793;0,741911926;-0,138292725;60;260;260;1007,527803
0;-0,038797944;-0,827449914;0,746301003;-0,191419891;60;260;260;1008,915539
0;-0,038797944;-0,842776023;0,73233576;-0,174113315;60;260;260;1007,713563
0;-0,19643285;-0,831079782;0,756276176;-0,181760407;60;260;260;1009,636724
0;-1,851599243;-0,835516287;0,749892065;-0,170893486;60;260;260;1006,937742
0;-2,606933044;-0,829466508;0,738320864;-0,17532075;60;260;260;1005,451663
0;-5,542882312;-0,833903013;0,744704975;-0,169283572;60;260;260;1007,254627
0;-2,271958929;-0,848825803;0,731936753;-0,173710836;60;260;260;1005,801329
0;-8,111016464;-0,839549474;0,722759594;-0,160831523;60;260;260;1008,041375
0;2,450520218;-0,854472264;0,716375483;-0,17532075;60;260;260;1004,763259
0;-2,554388085;-0,812123806;0,692834076;-0,159624088;60;260;260;1007,320189
0;-4,446006478;-0,841969386;0,732734767;-0,173710836;60;260;260;1004,850675
0;-3,986238141;-0,833903013;0,731936753;-0,191419891;60;260;260;1009,713214
0;-6,331056517;-0,824626684;0,71557747;-0,170893486;60;260;260;1007,516876
0;-7,526453992;-0,831483101;0,742310933;-0,156001781;60;260;260;1006,631785
0;-2,613501164;-0,866571823;0,745502989;-0,17532075;60;260;260;1007,123502
0;0,000610783;-0,853665627;0,735527815;-0,176930664;60;260;260;1009,636724
0;-3,368834924;-0,832693057;0,723158601;-0,155196824;60;260;260;1007,320189
0;-0,01909358;-0,810510531;0,71557747;-0,170893486;60;260;260;1008,65329
0;-1,700532478;-0,852858989;0,728345691;-0,165258787;60;260;260;1008,412894
0;2,483360831;-0,827853233;0,759468232;-0,188602542;60;260;260;1008,587727
0;-0,912358022;-0,850842396;0,717572504;-0,182162885;60;260;260;1009,308913
0;-4,216122312;-0,859312088;0,716375483;-0,15076956;60;260;260;1008,76256
0;-2,810544757;-0,845195935;0,737921857;-0,143524946;60;260;260;1008,806268
0;-7,913972936;-0,83470965;0,750690079;-0,156806738;60;260;260;1009,057591
0;3,606509839;-0,850035759;0,703607262;-0,143927424;60;260;260;1009,756922
0;-1,378694581;-0,827046596;0,74270994;-0,175723229;60;260;260;1010,576451
0;-2,981315869;-0,863748593;0,70520329;-0,206714075;60;260;260;1011,909551
0;-3,263745012;-0,848825803;0,702809249;-0,127425804;60;260;260;1009,603943
0;0,092564479;-0,822206772;0,728744698;-0,162038959;60;260;260;1009,80063
0;1,209145132;-0,831079782;0,721562573;-0,186992627;60;260;260;1013,985691
0;-3,250608773;-0,850439077;0,735926822;-0,160026566;60;260;260;1008,817195
0;2,017024141;-0,818980223;0,751488093;-0,196652112;60;260;260;1009,374475
0;-0,866381177;-0,844389298;0,698021166;-0,14513486;60;260;260;1009,385402
0;-3,749785848;-0,84075943;0,763857308;-0,154794345;60;260;260;1009,571162
0;5,517833862;-0,826239958;0,734729802;-0,193432284;60;260;260;1008,620508
0;2,627859527;-0,863345274;0,714779456;-0,171295965;60;260;260;1009,418183
0;-2,718591081;-0,814140399;0,730340725;-0,135475375;60;260;260;1011,483396
0;-4,242394788;-0,814947036;0,770640426;-0,181357928;60;260;260;1008,806268
0;-6,751416078;-0,850439077;0,690041028;-0,145939817;60;260;260;1008,511238
0;6,312576946;-0,827046596;0,712385414;-0,180552971;60;260;260;1009,276132
0;4,217345314;-0,783488181;0,718769525;-0,184175278;60;260;260;1007,833761
0;-0,091342913;-0,880687976;0,711188394;-0,141915032;60;260;260;1008,39104
0;-1,680828117;-0,868185098;0,74670001;-0,160026566;60;260;260;1010,073806
0;-2,015802247;-0,822610091;0,741113912;-0,173710836;60;260;260;1008,904612
0;-1,378694581;-0,846405891;0,716375483;-0,144732382;60;260;260;1004,828821
0;-2,015802247;-0,838339518;0,751089086;-0,174515793;60;260;260;1004,774186
0;-4,025646857;-0,81978686;0,695228117;-0,155196824;60;260;260;1006,12914
0;-1,687396237;-0,852052352;0,745502989;-0,190212456;60;260;260;1005,83411
0;-2,416457568;-0,839146155;0,745103982;-0,195042198;60;260;260;1005,615569
0;3,626214209;-0,851649033;0,726350656;-0,179748014;60;260;260;1006,456952
0;-3,552742268;-0,835112969;0,738719871;-0,160429045;60;260;260;1007,440387
0;-4,846661732;-0,824626684;0,701612228;-0,170893486;60;260;260;1008,489384
0;2,457088341;-0,853262308;0,726350656;-0,18900502;60;260;260;1008,882758
0;-3,316289968;-0,850035759;0,739916892;-0,181760407;60;260;260;1012,740007
0;0,466947393;-0,833903013;0,709991373;-0,170491008;60;260;260;1010,041025
0;-0,071638549;-0,868185098;0,702011235;-0,17532075;60;260;260;1006,161922
0;-2,784272278;-0,833096376;0,750690079;-0,179748014;60;260;260;1009,013882
0;0,716536008;-0,839146155;0,721562573;-0,184175278;60;260;260;1009,669505
0;0,618014186;-0,832289738;0,717173497;-0,170893486;60;260;260;1011,111876
0;-0,255545939;-0,833903013;0,745103982;-0,172905879;60;260;260;1007,16721
0;-1,470648266;-0,824626684;0,723557608;-0,151976995;60;260;260;1010,215858
0;-8,452558574;-0,865765186;0,741911926;-0,152379474;60;260;260;1007,418533
0;-7,59213517;-0,862538637;0,745901996;-0,196249633;60;260;260;1008,128791
0;-1,024016073;-0,857295494;0,769842412;-0,170893486;60;260;260;1009,702287
0;3,002242522;-0,870201691;0,764655322;-0,162038959;60;260;260;1010,598305
0;-0,748155004;-0,852052352;0,712784421;-0,20792151;60;260;260;1008,194353
0;-3,91398883;-0,836726243;0,734330795;-0,161234002;60;260;260;1010,937044
0;1,852821086;-0,825030002;0,739517885;-0,149159646;60;260;260;1011,964187
0;3,934916004;-0,880687976;0,740714906;-0,199469462;60;260;260;1010,226785
0;-1,556033831;-0,833499694;0,721163566;-0,159624088;60;260;260;1010,041025
0;2,943129417;-0,818980223;0,749094051;-0,185382713;60;260;260;1007,800979
0;0,237063146;-0,829063189;0,707597331;-0,170088529;60;260;260;1009,516527
0;-3,014156468;-0,834306331;0,733133774;-0,155599302;60;260;260;1008,030448
0;-1,404967062;-0,839146155;0,703208255;-0,221203301;60;260;260;1009,002955
0;-4,85979797;-0,839952793;0,724355622;-0,187797584;60;260;260;1008,707925
0;-4,820389257;-0,861328681;0,756276176;-0,163648873;60;260;260;1008,074156
0;-0,242409697;-0,839549474;0,751488093;-0,159221609;60;260;260;1006,588077
0;-6,01578684;-0,865361867;0,730340725;-0,177333143;60;260;260;1009,582089
0;-3,6315597;-0,854875583;0,754281141;-0,162038959;60;260;260;1007,42946
0;-0,485430172;-0,837129562;0,72196158;-0,18618767;60;260;260;1006,369536
0;-1,799054281;-0,821803453;0,726350656;-0,174113315;60;260;260;1009,101299
0;-1,450943905;-0,82865987;0,753084121;-0,163246394;60;260;260;1008,489384
0;-6,580645008;-0,839549474;0,725552642;-0,149964603;60;260;260;1011,592667
0;-6,600349362;-0,838339518;0,731936753;-0,21355621;60;260;260;1006,620858
0;-3,887716353;-0,821803453;0,734330795;-0,139097682;60;260;260;1008,325478
0;-2,074915328;-0,802847476;0,729941719;-0,206311596;60;260;260;1008,248989
0;1,590096203;-0,854068945;0,7115874;-0,135072897;60;260;260;1008,270843
0;-9,076529721;-0,818980223;0,717971511;-0,183370321;60;260;260;1005,604642
0;0,834762196;-0,84358266;0,722360587;-0,175723229;60;260;260;1010,051952
0;3,613077962;-0,856892176;0,753084121;-0,168478615;60;260;260;1004,785113
0;2,929993171;-0,84075943;0,725552642;-0,190614934;60;260;260;1007,757271
0;-1,404967062;-0,839952793;0,74270994;-0,171698443;60;260;260;1006,894034
0;-4,616777571;-0,860925362;0,753084121;-0,134670418;60;260;260;1006,631785
0;-1,201355328;-0,831483101;0,756675183;-0,191017413;60;260;260;1008,456603
0;-4,183281716;-0,838742837;0,719168532;-0,180552971;60;260;260;1010,084734
0;-0,111047276;-0,838339518;0,741512919;-0,147147253;60;260;260;1011,669156
0;3,067923751;-0,837129562;0,703607262;-0,186992627;60;260;260;1007,855615
0;0,539196728;-0,851649033;0,717971511;-0,179345535;60;260;260;1010,062879
0;-4,202986073;-0,860522044;0,755079155;-0,170893486;60;260;260;1009,472819
0;-0,826972453;-0,831079782;0,71039038;-0,159221609;60;260;260;1010,882408
0;5,760854468;-0,835516287;0,734729802;-0,140707596;60;260;260;1008,565873
0;-4,216122312;-0,833096376;0,750291072;-0,193029805;60;260;260;1006,664566
0;-7,014140799;-0,811720487;0,721163566;-0,212348774;60;260;260;1008,970174
0;-3,723513371;-0,860522044;0,728744698;-0,174515793;60;260;260;1011,090022
0;-3,191495697;-0,842372705;0,745103982;-0,186590149;60;260;260;1009,582089
0;-0,780995608;-0,861732;0,741113912;-0,186992627;60;260;260;1011,461542
0;-6,436146408;-0,85850545;0,763458301;-0,151172038;60;260;260;1008,882758
0;0,368425572;-0,832289738;0,725153635;-0,170893486;60;260;260;1009,778776
0;-5,569154786;-0,84963244;0,7518871;-0,174918272;60;260;260;1011,275782
0;-3,743217729;-0,853665627;0,752685114;-0,175723229;60;260;260;1010,489034
0;-0,62336071;-0,835516287;0,714779456;-0,177333143;60;260;260;1007,123502
0;-1,043720435;-0,844389298;0,739517885;-0,159221609;60;260;260;1009,680433
0;-6,698871134;-0,828256552;0,749892065;-0,183772799;60;260;260;1009,385402
0;1,209145132;-0,827853233;0,700814214;-0,178540578;60;260;260;1007,2437
0;-0,413180842;-0,853665627;0,751089086;-0,156404259;60;260;260;1006,708274
0;0,742808494;-0,818980223;0,722360587;-0,176930664;60;260;260;1008,860904
0;-5,418088059;-0,860118725;0,701612228;-0,19705459;60;260;260;1008,642363
0;-5,910696946;-0,839952793;0,750690079;-0,174515793;60;260;260;1008,94832
0;-6,514963826;-0,830273145;0,750690079;-0,191017413;60;260;260;1012,171801
0;-4,918911039;-0,836726243;0,706799318;-0,173710836;60;260;260;1009,724141
0;3,17958184;-0,843179342;0,743906961;-0,155599302;60;260;260;1008,937393
0;-4,997728464;-0,818980223;0,712784421;-0,158416652;60;260;260;1007,35297
0;2,739517612;-0,839146155;0,722759594;-0,147147253;60;260;260;1011,472469
0;5,150018902;-0,832289738;0,743906961;-0,133060504;60;260;260;1007,779125
0;3,304376176;-0,814140399;0,737123843;-0,189809977;60;260;260;1010,762211
0;-6,876210321;-0,826643277;0,707198324;-0,154391867;60;260;260;1007,440387
0;-2,166869009;-0,837936199;0,721163566;-0,154794345;60;260;260;1005,64835
0;-0,406612721;-0,828256552;0,702011235;-0,168478615;60;260;260;1007,123502
0;-1,194787207;-0,853665627;0,714779456;-0,160429045;60;260;260;1008,565873
0;1,156600158;-0,835112969;0,749892065;-0,197859547;60;260;260;1008,773487
