Effort;Pression 1;pression2;position
-95,41876921;32,34190538;1,268762426;28,78
-94,6719288;32,31603174;1,301921982;28,78
-92,92750324;32,40535601;1,407768661;28,78
-95,34461801;32,39640638;1,282875316;28,78
-97,35390467;32,38372772;1,178061287;28,78
-95,60038145;32,41281405;1,272950397;28,78
-95,0852162;32,31396644;1,280465798;28,78
-96,44971242;32,45383322;1,237438693;28,78
-95,49449347;32,41763308;1,279261039;28,78
-95,19340011;32,28465064;1,26939349;28,78
-94,63527659;32,34672441;1,309609491;28,78
-93,4562031;32,38378509;1,376731776;28,78
-88,62275148;32,40007802;1,626174249;28,78
-98,36362348;32,41430565;1,132395186;28,78
-99,94256335;32,38579302;1,046513083;28,78
-96,23409155;32,46576607;1,250691041;28,78
-95,90072098;32,41155192;1,25740327;28,78
-93,78589744;32,46484816;1,375297539;28,78
-95,69165055;32,45096475;1,275532024;28,78
-96,96607555;32,35148608;1,191715222;28,78
-95,02753923;32,38923519;1,297676641;28,78
-95,79686387;32,38544881;1,257747487;28,78
-93,80605822;32,39250525;1,360553584;28,78
-99,48470332;32,38344088;1,069403504;28,78
-96,79412203;32,37999871;1,205885482;28,78
-95,70036612;32,41155192;1,267615036;28,78
-95,57274773;32,39267736;1,270540879;28,78
-95,51774532;32,47138828;1,288268047;28,78
-96,01647078;32,42239475;1,253559515;28,78
-94,75258569;32,3322673;1,300889331;28,78
-95,57521232;32,39273473;1,27042614;28,78
-93,86376961;32,39652112;1,358373544;28,78
-92,63999612;32,40220069;1,421824182;28,78
-99,11319352;32,42790222;1,096768743;28,78
-96,54398997;32,36026361;1,21489249;28,78
-96,05957705;32,45607063;1,257747487;28,78
-95,46036093;32,43266388;1,283850597;28,78
-95,2349402;32,50035986;1,308175254;28,78
-95,82215004;32,38619461;1,256600097;28,78
-94,54026586;32,26732506;1,299397725;28,78
-95,74986106;32,40397915;1,263656543;28,78
-93,03834106;32,45572641;1,411669785;28,78
-92,0831049;32,37988397;1,445976731;28,78
-101,4262309;32,38068714;0,969924836;28,78
-98,19733576;32,40621656;1,139336892;28,78
-96,05016616;32,45475113;1,257976965;28,78
-98,22460806;32,47557625;1,151097635;28,78
-96,1305821;32,49754876;1,261992828;28,78
-96,06520155;32,44063824;1,254534796;28,78
-94,81299919;32,35062554;1,301290917;28,78
-95,54398152;32,51051426;1,294349211;28,78
-93,33641908;32,37064748;1,380346053;28,78
-96,21707691;32,46088966;1,250633672;28,78
-99,56481634;32,36261576;1,061371777;28,78
-95,41753347;32,29830458;1,260558591;28,78
-96,27403103;32,42778748;1,241454556;28,78
-95,8860952;32,47993633;1,271114574;28,78
-96,66675147;32,53426522;1,241626664;28,78
-95,17936983;32,32142447;1,277080999;28,78
-94,87088614;32,2975014;1,288268047;28,78
-94,83338716;32,41510882;1,312477965;28,78
-92,30719006;32,25252374;1,410407657;28,78
-96,20339773;32,40214332;1,240192428;28,78
-96,05008011;32,27529942;1,223956867;28,78
-96,04709919;32,41791993;1,251149997;28,78
-95,53490453;32,37403228;1,268934534;28,78
-96,04508552;32,45096475;1,257518009;28,78
-93,83859359;32,40185648;1,360668323;28,78
-94,89399342;32,30341046;1,288210677;28,78
-96,59725065;32,37064748;1,214146686;28,78
-94,23724833;32,36227154;1,332844128;28,78
-96,14357285;32,35882937;1,235029175;28,78
-98,12191441;32,35659196;1,133772053;28,78
-96,44282809;32,37391754;1,222637369;28,78
-95,92398315;32,45532483;1,264517085;28,78
-95,83740573;32,40300387;1,259009615;28,78
-95,91994893;32,43427023;1,260730699;28,78
-95,85534631;32,39451318;1,256485358;28,78
-95,14445248;32,32595666;1,279719995;28,78
-95,35469324;32,37460598;1,278228389;28,78
-94,35750393;32,40730658;1,335253646;28,78
-94,11873791;32,37489282;1,341277441;28,78
-101,229986;32,40357756;0,984267204;28,78
-96,41153877;32,39818483;1,228833272;28,78
-95,60976481;32,40323334;1,270655618;28,78
-95,32698378;32,44643256;1,293259191;28,78
-95,12123505;32,44528517;1,303528327;28,78
-94,48970729;32,36508264;1,320509691;28,78
-95,01437293;32,35997676;1,292800235;28,78
-95,84373588;32,3995617;1,258034334;28,78
-93,08152307;32,39743903;1,398417437;28,78
-97,46400931;32,37368806;1,170545886;28,78
-99,65216137;32,40455284;1,064871315;28,78
-95,94807833;32,44425252;1,261189655;28,78
-97,28653799;32,42704168;1,189707291;28,78
-96,06163547;32,49232814;1,264517085;28,78
-97,44701533;32,42388635;1,180929761;28,78
-95,49655533;32,31924443;1,260501221;28,78
-95,49591508;32,35659196;1,267615036;28,78
-95,93972075;32,38149031;1,24971576;28,78
-94,31573666;32,39244788;1,334565212;28,78
-96,49499759;32,36978694;1,2191952;28,78
-98,09864535;32,39451318;1,142147997;28,78
-95,85474049;32,49238551;1,275073068;28,78
-96,52843137;32,44866997;1,232447549;28,78
-96,7105565;32,73666473;1,277769433;28,78
-95,50339147;32,40822449;1,27702363;28,78
-95,3549514;32,33140676;1,270024554;28,78
-95,10335987;32,42807433;1,301176179;28,78
-95,02694373;32,36456632;1,293029713;28,78
-95,10860229;32,51934916;1,318214912;28,78
-96,39754292;32,34540491;1,219539417;28,78
-94,8643529;32,45974228;1,319362302;28,78
-96,08697327;32,46192232;1,257460639;28,78
-96,76223378;32,42044419;1,215179337;28,78
-95,80790635;32,5542298;1,289185958;28,78
-94,9709603;32,3035252;1,284309553;28,78
-93,5417995;32,31511383;1,359348825;28,78
-95,13351671;32,31666281;1,278515236;28,78
-96,87268952;32,38992363;1,203762812;28,78
-94,76851261;32,43186071;1,318960715;28,78
-97,60994349;32,24649994;1,138992675;28,78
-96,45004287;32,37827762;1,223096324;28,78
-94,84034722;32,29050233;1,288497525;28,78
-96,35974791;32,41149455;1,233996524;28,78
-96,49689767;32,61538566;1,265664474;28,78
-94,99263219;32,32750564;1,287751722;28,78
-94,66659688;32,34878971;1,308404732;28,78
