Effort;Pression 1;pression2;position
-95,41141673;32,93963793;1,382468723;0,35
-95,41902048;32,9056752;1,375641756;0,35
-95,3765338;32,91089582;1,378797077;0,35
-95,48966066;32,90590467;1,372084848;0,35
-95,44003836;32,90527361;1,374494366;0,35
-95,57588354;32,92575451;1,371453784;0,35
-95,31063004;32,92827877;1,385451936;0,35
-95,41422554;32,92586925;1,379714988;0,35
-95,50634486;32,91129741;1,372256957;0,35
-95,50827935;32,89850401;1,3697327;0,35
-95,39266036;32,91129741;1,378051274;0,35
-95,0664495;32,89592239;1,391762578;0,35
-95,49847262;32,90464255;1,371396415;0,35
-95,02180113;32,88966911;1,392852598;0,35
-95,49051432;32,90613415;1,372084848;0,35
-94,48566963;32,91015002;1,424061592;0,35
-95,49536778;32,90441307;1,371511154;0,35
-94,99708292;32,90269198;1,396581614;0,35
-95,76012217;32,91537064;1,360094628;0,35
-95,6174374;32,92179602;1,36858531;0,35
-92,89470282;32,91485431;1,50604257;0,35
-95,3820275;32,90934684;1,378223382;0,35
-96,32801112;32,92460712;1,332901498;0,35
-95,51478505;32,91296112;1,372142218;0,35
-98,37705482;32,91898491;1,227399035;0,35
-95,42410801;32,92156654;1,378395491;0,35
-95,89676248;32,93636787;1,357111416;0,35
-95,53367223;32,90865841;1,370363764;0,35
-95,4454529;32,90521624;1,374207519;0,35
-95,54189901;32,91026475;1,370249025;0,35
-95,2507432;32,90733891;1,384534024;0,35
-95,10449578;32,90584731;1,391705209;0,35
-95,34369895;32,89087387;1,376674406;0,35
-95,43902637;32,88926753;1,371511154;0,35
-95,5695293;32,89620923;1,366175793;0,35
-95,5628687;32,91892755;1,37082272;0,35
-95,32473261;32,89666819;1,378739707;0,35
-96,05252061;32,97400224;1,356308243;0,35
-95,2050725;32,89506184;1,384534024;0,35
-95,69838343;32,95868459;1,371453784;0,35
-94,79005714;32,89787295;1,406219685;0,35
-95,27061139;32,91146951;1,384304546;0,35
-94,56442644;32,96218413;1,429913278;0,35
-95,26026768;32,89265233;1,381263964;0,35
-95,91541215;33,01157925;1,370421134;0,35
-92,94075215;32,91755068;1,504206747;0,35
-96,05089246;32,9908115;1,359578303;0,35
-95,79427536;32,89913508;1,355275593;0,35
-95,27835627;32,89116072;1,380059205;0,35
-98,39452038;32,90068405;1,223038955;0,35
-94,91541747;32,79208364;1,379772358;0,35
-95,93012742;32,8942013;1,347415975;0,35
-95,42795291;32,84423249;1,363536797;0,35
-95,17953161;32,89666819;1,38614037;0,35
-95,58195897;32,90590467;1,367380552;0,35
-95,13188856;32,80246751;1,370707981;0,35
-95,17065082;32,88943964;1,385222458;0,35
-95,15165005;32,7784297;1,365143142;0,35
-95,37829275;32,89896297;1,376444928;0,35
-95,484611;32,83465179;1,3588325;0,35
-95,2393806;32,89793032;1,383329265;0,35
-95,01519217;32,8812358;1,39159047;0,35
-95,40581288;32,8975861;1,374781214;0,35
-95,09540502;32,89523395;1,390156233;0,35
-95,27117935;32,90647837;1,383329265;0,35
-94,78483537;32,88043263;1,403179103;0,35
-95,48582609;32,89821717;1,37082272;0,35
-93,85860292;32,88863646;1,451943156;0,35
-95,42080009;32,89253759;1,373060129;0,35
-95,45319089;32,89156231;1,371224306;0,35
-92,70926976;32,89798769;1,512295843;0,35
-95,46126622;32,88949701;1,370421134;0,35
-95,39763773;32,88358795;1,372543804;0,35
-95,33390943;32,88037526;1,3751828;0,35
-98,4056971;32,88341584;1,2191952;0,35
-95,4037407;32,89339813;1,37409278;0,35
-95,9053025;32,89781558;1,349366537;0,35
-95,45887391;32,89460289;1,371511154;0,35
-95,47795041;32,89488974;1,370593242;0,35
-95,4271681;32,89001333;1,372256957;0,35
-95,18838831;32,88966911;1,384361916;0,35
-95,08802501;32,90051194;1,3915331;0,35
-95,6533461;32,87819522;1,358488283;0,35
-95,37008662;32,89615186;1,376330189;0,35
-95,49478261;32,90728154;1,372084848;0,35
-95,22389084;32,90102827;1,384706133;0,35
-95,2620817;32,90251988;1,383042418;0,35
-95,15488225;32,88066211;1,384361916;0,35
-95,0226066;32,89896297;1,394573682;0,35
-95,2165005;32,87876891;1,380862378;0,35
-95,23093696;32,91835385;1,387631976;0,35
-95,57381824;32,87739205;1,362389407;0,35
-93,69933034;32,89030018;1,460376469;0,35
-95,58363186;32,90211829;1,366577379;0,35
-95,43192862;32,88433375;1,370937459;0,35
-92,97454047;32,8975861;1,498699278;0,35
-95,65418255;32,89506184;1,361643604;0,35
-95,24718744;32,91152688;1,385509305;0,35
-95,47961642;32,87899839;1,36749529;0,35
-98,42031599;32,9342452;1,228087469;0,35
-95,55236665;32,88433375;1,364798925;0,35
-96,21102558;32,96396258;1,346325955;0,35
-95,36425558;32,88611221;1,374723844;0,35
-95,39805768;32,90911737;1,37736284;0,35
-95,3753015;32,88272741;1,373519085;0,35
-95,3714566;32,88502219;1,374150149;0,35
-95,63288585;32,97738704;1,378338121;0,35
-95,59989611;32,8819816;1,361930452;0,35
-95,8991066;32,99660581;1,368413202;0,35
-95,54761301;32,88335847;1,364856295;0,35
-95,5294659;32,92265656;1,373232238;0,35
-95,37022775;32,87228616;1,371798001;0,35
-95,23083025;32,83390598;1,371625893;0,35
-95,1756041;32,88502219;1,384132438;0,35
-94,85332764;32,7620794;1,377248101;0,35
-95,05796111;32,88456323;1,390041494;0,35
-95,4091036;32,84945311;1,365487359;0,35
-93,42182616;32,87894102;1,472366689;0,35
-95,56395299;32,88381743;1,364110492;0,35
-94,96948705;32,7709143;1,37300276;0,35
-93,0999249;32,88106369;1,489175945;0,35
-95,06848382;32,78663354;1,370937459;0,35
-94,55432712;32,89471763;1,417636211;0,35
-95,49854834;32,85019892;1,361069909;0,35
-98,36052897;32,89184915;1,223096324;0,35
-95,50222114;32,88295689;1,367093704;0,35
-96,41069889;32,89116072;1,322345514;0,35
-95,27276963;32,8887512;1,379887097;0,35
-95,54903463;32,89735662;1,367437921;0,35
-95,28382588;32,89414393;1,380346053;0,35
-95,13342033;32,87882628;1,385107719;0,35
-95,16575261;32,87813785;1,383329265;0,35
-95,2653552;32,88978385;1,380460792;0,35
-95,55547493;32,8812358;1,364053122;0,35
-95,5403879;32,87022086;1,362733624;0,35
-95,4431432;32,86798345;1,367265813;0,35
-95,08287208;32,87280249;1,386541956;0,35
-95,32336951;32,88238319;1,376100712;0,35
-94,94971524;32,87997367;1,394688421;0,35
-95,34569197;32,87779363;1,37409278;0,35
-95,27182648;32,8812358;1,378510229;0,35
-95,34986044;32,88163739;1,374609105;0,35
-93,12125257;32,88135054;1,488143294;0,35
-95,52637828;32,88703012;1,366634748;0,35
-95,45233035;32,87922787;1,368929527;0,35
-93,29975654;32,88031789;1,47884944;0,35
-95,49882372;32,88416164;1,36749529;0,35
-94,574333;32,87830996;1,413505609;0,35
-95,71138106;32,88834962;1,357455633;0,35
-98,26729784;32,87435146;1,224530561;0,35
-95,47086987;32,89207863;1,370421134;0,35
-96,46510924;32,87825259;1,317124892;0,35
-95,40717942;32,88978385;1,373232238;0,35
-95,37264759;32,87808048;1,372773282;0,35
-95,69081755;32,91852596;1,36422523;0,35
-95,45056107;32,86362337;1,366061054;0,35
-95,33854259;32,86649185;1,372314326;0,35
-95,74795754;32,89334076;1,356537721;0,35
-95,25009951;32,8729746;1,378051274;0,35
-95,45838856;32,87601518;1,368011616;0,35
-95,58719451;32,87251564;1,360783062;0,35
-95,3643795;32,89764347;1,376903884;0,35
-95,42969465;32,86769661;1,367896877;0,35
-95,21643166;32,92655769;1,389926755;0,35
-95,3101206;32,85794379;1,372142218;0,35
-95,44181108;32,97383013;1,387402498;0,35
-95,37794853;32,87526938;1,371970109;0,35
-92,75407991;32,84165086;1,499330342;0,35
-95,48330642;32,8763594;1,366806857;0,35
-95,56906461;32,87641677;1,362446777;0,35
-93,82469067;32,97210905;1,469498215;0,35
-95,21464862;32,86798345;1,378911816;0,35
-94,38299663;32,94003951;1,434961792;0,35
-95,45187942;32,8648855;1,366233162;0,35
-97,92201392;32,83660235;1,234971806;0,35
-95,51164924;32,86763924;1,363708905;0,35
-96,6068956;32,76477577;1,288382786;0,35
-95,5363468;32,87458094;1,363766275;0,35
-94,85747545;32,7483681;1,374436997;0,35
-95,42553651;32,87263038;1,369044266;0,35
-95,24056126;32,86345126;1,376731776;0,35
-95,13766796;32,86241861;1,38178029;0,35
-95,45139408;32,88381743;1,369847439;0,35
-95,04344549;32,75267081;1,365774206;0,35
-95,59435078;32,87716257;1,361299387;0,35
-95,01285493;32,81434299;1,379026555;0,35
-95,28233542;32,8716551;1,376158081;0,35
-95,25562763;32,83815133;1,371166937;0,35
-95,17598618;32,87211405;1,381665551;0,35
