Effort;Pression 1;pression2;position
-94,66040442;33,68240051;1,561576221;1,25
-92,53090692;33,79438572;1,691345971;1,25
-95,01999743;33,71401109;1,549241784;1,25
-96,55957611;33,78354289;1,483955323;1,25
-95,11928678;33,76581572;1,554003451;1,25
-97,52474637;33,78641136;1,435306009;1,25
-95,3167812;33,7919762;1,548897567;1,25
-95,50177366;33,80327799;1,541611644;1,25
-95,29710232;33,79243516;1,549987587;1,25
-95,39051933;33,7803302;1,542931142;1,25
-95,51750781;33,78905036;1,538112106;1,25
-95,1162026;33,80190112;1,561002526;1,25
-95,13145141;33,7878456;1,557560358;1,25
-95,49827297;33,79174672;1,539603713;1,25
-95,09448596;33,78365763;1,558650378;1,25
-95,32094278;33,783715;1,547119114;1,25
-95,36138826;33,80063899;1,548266503;1,25
-94,98119731;33,79495941;1,566567365;1,25
-95,24804109;33,77470799;1,549127045;1,25
-95,08529193;33,77906807;1,558248792;1,25
-95,11373457;33,78641136;1,558191422;1,25
-94,54099904;33,79100092;1,588253027;1,25
-95,30133619;33,78933721;1,549184415;1,25
-94,7272238;33,79295148;1,57913128;1,25
-95,24118085;33,80281903;1,554806623;1,25
-95,01410788;33,77929755;1,561920438;1,25
-92,85775802;33,79117303;1,67407776;1,25
-95,33747896;33,78210865;1,545971724;1,25
-96,06096769;33,77568327;1,507878393;1,25
-95,22981825;33,79341044;1,553601864;1,25
-97,66067416;33,78331341;1,427790608;1,25
-95,21571225;33,79082881;1,553831342;1,25
-95,42745035;33,78027283;1,541037949;1,25
-95,52811657;33,79553311;1,53880054;1,25
-95,21352991;33,79931949;1,555552426;1,25
-95,77736743;33,80413853;1,527728231;1,25
-95,07544044;33,79094355;1,561002526;1,25
-95,12276337;33,80063899;1,560428832;1,25
-95,40010577;33,81830879;1,54964337;1,25
-95,06291439;33,79937686;1,563239936;1,25
-95,47152044;33,82025935;1,54637331;1,25
-95,26706596;33,80614646;1,554118189;1,25
-94,94034566;33,79547574;1,568747405;1,25
-95,60596465;33,80677753;1,536964717;1,25
-95,30290926;33,807007;1,552454475;1,25
-95,52504271;33,8028764;1,540349516;1,25
-94,84087387;33,8449856;1,583204513;1,25
-95,28208414;33,7899109;1,550274435;1,25
-94,65754742;33,87407192;1,598063207;1,25
-95,62487248;33,78251024;1,531399878;1,25
-95,64413142;33,7940415;1,532604637;1,25
-92,88376705;33,84355136;1,682683181;1,25
-95,3186916;33,783715;1,547233853;1,25
-96,44045987;33,8940365;1,510976345;1,25
-95,39898362;33,79622154;1,545512768;1,25
-98,57600527;33,90137979;1,40352332;1,25
-95,38709437;33,78939457;1,544824335;1,25
-95,96607399;33,84578877;1,526007147;1,25
-95,26636376;33,79082881;1,551249716;1,25
-95,4003123;33,74998175;1,536677869;1,25
-95,41840089;33,78600978;1,542586925;1,25
-94,90737657;33,69886554;1,552110258;1,25
-95,22256216;33,79145988;1,553601864;1,25
-95,16467866;33,78497713;1,555322948;1,25
-95,15375322;33,74694116;1,548668089;1,25
-95,52866043;33,79507415;1,538685801;1,25
-95,04845384;33,68928484;1,54310325;1,25
-95,22559127;33,78985353;1,553142908;1,25
-94,97018581;33,67127083;1,543676945;1,25
-95,14427004;33,77797805;1,555036101;1,25
-95,09084414;33,72095279;1,546947005;1,25
-94,82041018;33,77866648;1,571673249;1,25
-95,36778725;33,76816787;1,541783753;1,25
-93,95243987;33,78377237;1,616880394;1,25
-95,20793295;33,78813245;1,553716603;1,25
-95,47484901;33,79180409;1,540808471;1,25
-92,6195221;33,79036986;1,68606798;1,25
-95,4069488;33,76931526;1,540005299;1,25
-95,61261492;33,7940415;1,534210982;1,25
-95,45193106;33,79048459;1,541726383;1,25
-98,13547655;33,78537871;1,403982276;1,25
-95,20706208;33,7857803;1,553315017;1,25
-95,74564441;33,77866648;1,524515541;1,25
-95,41304144;33,80786755;1,547004375;1,25
-95,1483559;33,78664084;1,556470338;1,25
-95,48130308;33,78113337;1,538456323;1,25
-95,16970767;33,7823955;1,554577145;1,25
-95,19799196;33,77396219;1,551536563;1,25
-95,26617444;33,78623925;1,550389174;1,25
-95,39814373;33,78268235;1,542988512;1,25
-95,41502757;33,78268235;1,542127969;1,25
-95,2868481;33,78090389;1,548323873;1,25
-95,05321436;33,77740435;1,559568289;1,25
-95,43984905;33,7823955;1,540808471;1,25
-94,89199352;33,78641136;1,569493208;1,25
-95,27967462;33,77413429;1,547405961;1,25
-94,9354268;33,78537871;1,567083691;1,25
-95,40795047;33,79530363;1,544881704;1,25
-93,74972713;33,77436377;1,625428446;1,25
-95,43078237;33,78600978;1,541955861;1,25
-95,41940256;33,79323833;1,543906423;1,25
-92,77966899;33,78773086;1,677405189;1,25
-95,37450292;33,80476959;1,548381242;1,25
-95,37911198;33,77665855;1,542816403;1,25
-95,34455605;33,78824719;1,546774897;1,25
-98,28855667;33,78537871;1,396180027;1,25
-95,40523804;33,79094355;1,54419327;1,25
-95,64939105;33,79363992;1,53226042;1,25
-95,51532203;33,80086847;1,540464255;1,25
-95,09783175;33,79484467;1,56060094;1,25
-95,08470676;33,78193654;1,558822486;1,25
-95,1069707;33,77763383;1,556871924;1,25
-95,24936289;33,86644178;1,566452626;1,25
-95,31824068;33,76937263;1,544537487;1,25
-95,20310358;33,78532134;1,553429756;1,25
-95,35865173;33,78205128;1,544881704;1,25
-95,38618564;33,7673647;1,540693733;1,25
-95,01299951;33,78142022;1,562379394;1,25
-95,3330661;33,77063476;1,544021162;1,25
-95,23664407;33,83609333;1,561346743;1,25
-95,13150648;33,77212636;1,554577145;1,25
-95,32147631;33,88703742;1,566682104;1,25
-95,54379909;33,77493747;1,534096243;1,25
-93,89306247;33,87068712;1,636386015;1,25
-95,37932884;33,77338849;1,542185339;1,25
-94,93956773;33,70328299;1,551307085;1,25
-92,8825141;33,77906807;1,670520852;1,25
-95,47108328;33,77384745;1,537595781;1,25
-95,22230744;33,8688513;1,56828845;1,25
-95,16501255;33,76237355;1,551020238;1,25
-98,29114518;33,79696735;1,398245329;1,25
-95,18690818;33,77642907;1,552569214;1,25
-95,68463197;33,70144717;1,512984277;1,25
-95,28051451;33,76891367;1,54637331;1,25
-94,72396406;33,66105906;1,554290298;1,25
-95,20161657;33,7782649;1,552167627;1,25
-94,88036587;33,6767783;1,549299154;1,25
-95,27111395;33,7763717;1,548266503;1,25
-95,16923265;33,77258532;1,552741322;1,25
-95,46209922;33,77264269;1,537825259;1,25
-95,50570805;33,78950931;1,53880054;1,25
-94,7194445;33,67769621;1,557675097;1,25
-95,1952279;33,78199391;1,553200278;1,25
