Effort;Pression 1;pression2;position
-94,9496877;34,876374;1,773212211;1,56
-95,02786279;34,8716697;1,768335805;1,56
-95,1393856;34,87895563;1,764033095;1,56
-95,01071735;34,88067671;1,770917432;1,56
-95,59618545;34,87436607;1,739880546;1,56
-94,93810825;34,87023547;1,772638516;1,56
-95,16307461;34,88532364;1,764033095;1,56
-94,87168128;34,88687261;1,779178636;1,56
-95,20177491;34,88211095;1,761451469;1,56
-95,39997841;34,87941458;1,750838116;1,56
-95,01810768;34,88417625;1,771204279;1,56
-94,81534675;34,88383203;1,781473415;1,56
-95,0850613;34,88371729;1,767704741;1,56
-94,5846182;34,8859547;1,793635743;1,56
-94,79867289;34,86845701;1,779408114;1,56
-95,02770101;34,89674016;1,773097472;1,56
-94,73788075;34,8784393;1,784399258;1,56
-94,95026943;34,89559277;1,776826488;1,56
-94,41580393;34,88142251;1,801380622;1,56
-95,4372984;34,89731386;1,752329722;1,56
-92,57365177;34,87155496;1,893401259;1,56
-95,04839532;34,87144022;1,767245785;1,56
-95,19269791;34,87694769;1,760935143;1,56
-94,97422348;34,87086653;1,770917432;1,56
-98,16211894;34,89513382;1,613036639;1,56
-94,97820951;34,86346587;1,769311086;1,56
-95,1723306;34,88629892;1,763746248;1,56
-95,22699568;34,88979846;1,761623577;1,56
-94,91545189;34,87866878;1,775392251;1,56
-95,80531095;34,87551346;1,729439302;1,56
-94,95341213;34,89674016;1,776883857;1,56
-95,0025835;34,88302886;1,771777974;1,56
-95,4948549;34,97602478;1,764319942;1,56
-94,93782943;34,85835998;1,770401107;1,56
-95,1726817;34,88457783;1,763402031;1,56
-95,16065821;34,89496171;1,765983657;1,56
-94,92069087;34,87947195;1,775277512;1,56
-95,28129244;34,93041604;1,766557352;1,56
-94,74501292;34,88761842;1,785776126;1,56
-95,61793651;34,99065399;1,760820404;1,56
-94,94044204;34,86541643;1,771605865;1,56
-94,84881496;34,9669604;1,795528936;1,56
-95,27144095;34,88601207;1,758640364;1,56
-94,95657892;34,91211518;1,779637592;1,56
-95,05266017;34,87591504;1,76787685;1,56
-92,26051082;34,7722484;1,890532785;1,56
-95,20807063;34,89318325;1,763229922;1,56
-94,8135465;34,87941458;1,780727612;1,56
-95,17657479;34,91073831;1,768163697;1,56
-98,1268608;34,87264498;1,610569752;1,56
-94,78332082;34,81349706;1,769770042;1,56
-95,362118;34,87740665;1,752387092;1,56
-94,49772754;34,76123346;1,77441697;1,56
-95,00409117;34,87012073;1,769253717;1,56
-95,53608863;34,77500214;1,724103941;1,56
-95,1469928;34,8791851;1,763688878;1,56
-94,8347537;34,80856328;1,766213135;1,56
-95,01503383;34,87275972;1,769196348;1,56
-95,07888261;34,87207129;1,765811549;1,56
-95,0993463;34,88211095;1,766672091;1,56
-95,13489013;34,87230077;1,763000444;1,56
-94,71311779;34,82215985;1,774990664;1,56
-95,04004807;34,873735;1,768106328;1,56
-94,53880982;34,85669627;1,790423053;1,56
-95,13027763;34,8662196;1,762082533;1,56
-95,10162157;34,87757876;1,76569681;1,56
-94,70588924;34,86862912;1,78416978;1,56
-95,04437143;34,87792297;1,768680022;1,56
-94,72466971;34,87367763;1,78416978;1,56
-94,96629616;34,87993091;1,773040102;1,56
-92,62606222;34,87838193;1,892024391;1,56
-95,15165005;34,87952932;1,76351677;1,56
-94,65143757;34,88394677;1,789849358;1,56
-95,21249038;34,87924247;1,760361449;1,56
-98,26697083;34,8976007;1,608160234;1,56
-95,32477047;34,88612681;1,755943999;1,56
-95,23408654;34,88262727;1,759902493;1,56
-94,99818097;34,86157267;1,767934219;1,56
-95,11452971;34,85623731;1,760992513;1,56
-95,88892811;34,86289217;1,722784443;1,56
-95,12831215;34,87144022;1,763172553;1,56
-95,16498845;34,873735;1,761738316;1,56
-95,12792663;34,86891597;1,762713597;1,56
-95,09878867;34,8771198;1,765754179;1,56
-95,18313901;34,86862912;1,759845123;1,56
-95,1055663;34,87258761;1,76454942;1,56
-94,9289211;34,87775087;1,774531709;1,56
-95,00631137;34,86254796;1,767704741;1,56
-94,74057597;34,88067671;1,784686106;1,56
-95,16141892;34,87247287;1,761680946;1,56
-95,25099103;34,88142251;1,758812473;1,56
-94,87823173;34,87683295;1,776941227;1,56
-95,00478993;34,88876581;1,772753255;1,56
-94,62395874;34,88291412;1,791054117;1,56
-95,16381123;34,88612681;1,764147834;1,56
-92,65896591;34,86937492;1,888639592;1,56
-95,3061449;34,91894215;1,763115183;1,56
-94,57494571;34,87488239;1,792029398;1,56
-95,20996383;34,88279938;1,761164621;1,56
-98,04854115;34,88578259;1,617052502;1,56
-95,25385147;34,87402185;1,757263497;1,56
-95,40477679;34,87465291;1,749690726;1,56
-95,16882647;34,87809508;1,76236938;1,56
