SPR400_DPL;SPR400_Effort;KistlerKBeam_8396A050CTTA00_5506138_X;KistlerKBeam_8396A050CTTA00_5506138_Y;KistlerKBeam_8396A050CTTA00_5506138_Z;Laser_Point_uEpsilon_OptNCDT_1401_1;Laser_Point_uEpsilon_OptNCDT_1401_2;Laser_Point_uEpsilon_OptNCDT_1401_3;DMMC_6300kN_ForgeAddicctt
0;1,794251482;-0,495518626;-1,085138413;-0,094422562;260;260;151,3312304;2,668479152
0;-3,786129202;-0,496728582;-1,081547358;-0,140707596;260;260;151,3312304;3,594494149
0;-5,099159944;-0,518911113;-1,085936425;-0,141915032;260;260;151,3927406;1,263115217
0;-1,488325397;-0,503585001;-1,083941394;-0,120583669;260;260;151,3148277;5,272215436
0;-5,099159944;-0,556016437;-1,103093686;-0,135475375;260;260;151,4788547;2,864576446
0;-0,503552335;-0,519717751;-1,061198047;-0,133865461;260;260;151,2287136;2,123764448
0;-4,442644573;-0,519717751;-1,072769224;-0,148354688;260;260;151,3353311;-0,828589246
0;-8,70999447;-0,518104476;-1,082744376;-0,137487768;260;260;151,3968412;0,947180688
0;-8,381736787;-0,490678801;-1,064390096;-0,137890246;260;260;151,3312304;2,679373446
0;-9,694767519;-0,48140247;-1,077158291;-0,162038959;260;260;151,5526669;1,263115217
0;-2,473098458;-0,50076177;-1,094315552;-0,143927424;260;260;151,3517338;1,175960864
0;-3,12961383;-0,516491201;-1,087931455;-0,120986147;260;260;151,3640358;1,393846745
0;-3,786129202;-0,522540982;-1,089128473;-0,151172038;260;260;151,3681365;1,241326628
0;-6,412190683;-0,533430588;-1,10269468;-0,104082048;260;260;151,3558345;2,886365034
0;-6,083932999;-0,522137663;-1,054015938;-0,109716748;260;260;151,4952574;0,326205926
0;-1,816583084;-0,546740106;-1,037257682;-0,151976995;260;260;151,4747541;1,742464156
0;-8,381736787;-0,503181682;-1,08234537;-0,120986147;260;260;151,3558345;2,810104975
0;-10,0230252;-0,531010676;-1,096709589;-0,131048111;260;260;151,3353311;3,670754207
0;-6,083932999;-0,482209107;-1,059203017;-0,138695203;260;260;151,3763379;0,206368691
0;-1,16006771;-0,568519317;-1,044040786;-0,132658025;260;260;151,3681365;4,10652597
0;2,450766859;-0,503585001;-1,050025877;-0,139097682;260;260;151,3886399;5,490101317
0;-11,99257129;-0,522944301;-1,064390096;-0,160026566;260;260;151,4706534;5,119695319
0;-9,694767519;-0,506408232;-1,06199606;-0,12863324;260;260;151,2082102;4,869126555
0;-6,412190683;-0,508828145;-1,062395066;-0,146744774;260;260;151,4091433;3,27855962
0;2,12250917;-0,51366797;-1,062395066;-0,140305118;260;260;151,3968412;2,439698977
0;-5,427417629;-0,551579931;-1,032868615;-0,132658025;260;260;151,4337473;3,496445502
0;-6,083932999;-0,539883688;-1,06598612;-0,153184431;260;260;151,4009419;6,775628018
0;-4,442644573;-0,506408232;-1,053217926;-0,184980235;260;260;151,4173446;8,148309072
0;1,465993793;-0,480999151;-1,036060664;-0,149159646;260;260;151,273821;4,869126555
0;-5,099159944;-0,502375045;-1,06598612;-0,137890246;260;260;151,3066264;4,716606438
0;-8,70999447;-0,516491201;-1,064789102;-0,122193583;260;260;151,3640358;3,899534383
0;-1,816583084;-0,498745176;-1,104290705;-0,139902639;260;260;151,2656196;3,638071325
0;0,15296304;-0,51689452;-1,070375187;-0,137085289;260;260;151,4091433;4,248151793
0;-4,442644573;-0,498745176;-1,051222895;-0,137890246;260;260;151,2779217;4,041160206
0;-2,144840771;-0,482209107;-1,053217926;-0,166466223;260;260;151,5198615;4,422460498
0;-0,831810023;-0,483822382;-1,07316823;-0,141915032;260;260;151,1467001;-0,479971835
0;-6,740448368;-0,468092951;-1,058405005;-0,160831523;260;260;151,3312304;3,943111559
0;-4,442644573;-0,488258889;-1,062794072;-0,19705459;260;260;151,2943244;7,037091076
0;-10,0230252;-0,482209107;-1,048828859;-0,118168797;260;260;151,1302974;1,982138625
0;-9,694767519;-0,490678801;-1,058005999;-0,138695203;260;260;151,6100763;4,117420264
0;-13,30560202;-0,512458013;-1,079153321;-0,130243154;260;260;151,4009419;2,200024507
0;-3,786129202;-0,493905351;-1,048030846;-0,151574517;260;260;151,5157608;0,849132042
0;-6,083932999;-0,506408232;-1,051222895;-0,176528186;260;260;151,7043919;1,873195685
0;2,12250917;-0,499148495;-1,081547358;-0,158416652;260;260;151,3722372;0,271734456
0;-1,16006771;-0,483419064;-1,084739406;-0,167673658;260;260;151,261519;-0,632491952
0;-3,786129202;-0,518911113;-1,072370218;-0,172100922;260;260;151,3886399;0,57677469
0;-6,083932999;-0,489468845;-1,077956303;-0,141110075;260;260;151,462452;0,032059986
0;-5,099159944;-0,475352689;-1,085138413;-0,14795221;260;260;151,4952574;0,435148867
0;-11,66431361;-0,492695395;-1,088330461;-0,151574517;260;260;151,4952574;5,087012437
0;-5,099159944;-0,480999151;-1,077158291;-0,158416652;260;260;151,2697203;-1,950701535
0;4,092055307;-0,524154257;-1,089527479;-0,156806738;260;260;151,2328142;0,478726043
0;-5,755675314;-0,505198276;-1,053616932;-0,139500161;260;260;151,1877068;3,115145209
0;-0,503552335;-0,455590069;-1,087931455;-0,152379474;260;260;151,4214453;2,28717886
0;-5,099159944;-0,486242295;-1,066385126;-0,160831523;260;260;151,2779217;4,858232261
0;-13,6338597;-0,478579239;-1,077557297;-0,141110075;260;260;151,5034588;3,027990857
0;-10,35128288;-0,498341857;-1,087931455;-0,144329903;260;260;151,2820223;2,712056328
0;-2,473098458;-0,447927013;-1,075961273;-0,169283572;260;260;151,3148277;2,200024507
0;-5,755675314;-0,504794957;-1,105886729;-0,148354688;260;260;151,3435325;1,175960864
0;-1,16006771;-0,476159326;-1,087532449;-0,129840675;260;260;151,3435325;1,600838333
0;-1,16006771;-0,491888757;-1,069178169;-0,174918272;260;260;151,462452;3,158722386
0;-1,488325397;-0,499955132;-1,073567236;-0,170088529;260;260;151,3558345;0,696611925
0;-3,786129202;-0,491485439;-1,107482753;-0,147147253;260;260;151,5321635;2,417910388
0;-10,0230252;-0,486645614;-1,09152251;-0,158014173;260;260;151,3230291;4,93449232
0;-11,33605593;-0,486645614;-1,069976181;-0,149159646;260;260;151,3722372;4,433354792
0;-4,770902259;-0,545933469;-1,077557297;-0,138292725;260;260;151,3640358;3,779697148
0;4,420312997;-0,479789195;-1,064789102;-0,164051351;260;260;151,1384987;7,897740308
0;1,137736104;-0,528590763;-1,077158291;-0,149562124;260;260;151,3681365;5,882295904
0;-0,503552335;-0,516491201;-1,095113565;-0,132255547;260;260;151,3435325;4,596769203
0;-14,61863274;-0,508828145;-1,094714559;-0,158014173;260;260;151,4214453;6,579530725
0;-9,694767519;-0,505198276;-1,081148352;-0,153586909;260;260;151,2779217;6,307173373
0;0,15296304;-0,505198276;-1,09152251;-0,138695203;260;260;151,286123;3,964900147
0;-11,00779825;-0,491485439;-1,087532449;-0,15076956;260;260;151,2779217;4,771077909
0;-4,114386888;-0,511248057;-1,086734437;-0,130645632;260;260;151,3066264;4,738395026
0;-13,6338597;-0,496325264;-1,086734437;-0,145537339;260;260;151,3804385;1,731569862
0;-3,786129202;-0,495921945;-1,086335431;-0,145939817;260;260;151,3025257;3,659859913
0;-2,801356144;-0,536253819;-1,081946364;-0,134670418;260;260;151,4009419;3,104250915
0;-1,816583084;-0,516491201;-1,100300644;-0,129840675;260;260;151,2492169;6,067498903
0;-8,381736787;-0,506811551;-1,117457905;-0,139097682;260;260;151,4542507;3,51823409
0;-11,00779825;-0,5358505;-1,074365248;-0,122596061;260;260;151,1425994;4,74928932
0;-4,442644573;-0,50398832;-1,087931455;-0,156806738;260;260;151,8233114;6,11107608
0;-1,16006771;-0,52012107;-1,060001029;-0,16727118;260;260;151,6920898;6,590425019
0;-3,457871516;-0,517297838;-1,062395066;-0,130243154;260;260;151,6633851;3,147828091
0;-2,144840771;-0,478579239;-1,072769224;-0,141110075;260;260;151,45015;3,627177031
0;-5,755675314;-0,502375045;-1,050823889;-0,133462982;260;260;151,2943244;6,808310901
0;-8,053479103;-0,538673732;-1,091123504;-0,135475375;260;260;151,3558345;4,531403439
0;-2,801356144;-0,481805789;-1,103093686;-0,149159646;260;260;151,2205122;1,295798099
0;-8,053479103;-0,525767532;-1,065587114;-0,122596061;260;260;151,6346804;2,559536211
0;-6,740448368;-0,518104476;-1,072769224;-0,118571276;260;260;151,3640358;-0,828589246
0;-14,94689042;-0,514071288;-1,0711732;-0,170491008;260;260;151,2820223;-2,081433064
0;-8,381736787;-0,508424826;-1,067582145;-0,139500161;260;260;151,4870561;0,162791515
0;1,465993793;-0,50076177;-1,048429853;-0,138292725;260;260;151,1056933;2,897259328
0;-9,694767519;-0,497938539;-1,058804011;-0,120986147;260;260;151,3927406;-1,384198244
0;-2,473098458;-0,519717751;-1,074365248;-0,15076956;260;260;151,3189284;4,836443673
0;-11,99257129;-0,458816619;-1,035262652;-0,142719989;260;260;151,3886399;1,546366862
0;-7,72522142;-0,53907705;-1,042045755;-0,149964603;260;260;151,3886399;3,692542795
0;-9,038252153;-0,532220632;-1,079552327;-0,115351448;260;260;151,3640358;4,34620044
0;-4,442644573;-0,541093644;-1,042045755;-0,125010933;260;260;151,5198615;3,322136797
0;-9,366509836;-0,502375045;-1,060001029;-0,137085289;260;260;151,122096;2,330756036
0;-12,64908666;-0,5358505;-1,061198047;-0,112131619;260;260;151,2779217;-1,765498536
0;-0,503552335;-0,506004914;-1,074365248;-0,153184431;260;260;151,4296466;4,836443673
0;-1,16006771;-0,503181682;-1,051621901;-0,13145059;260;260;151,7289959;2,701162034
0;-14,94689042;-0,518104476;-1,065188108;-0,140305118;260;260;151,5034588;2,134658743
0;-7,396963736;-0,472932776;-1,071572206;-0,123803497;260;260;151,1672034;2,221813095
0;-12,32082898;-0,499955132;-1,079951333;-0,12299854;260;260;151,3886399;5,04343526
0;-2,801356144;-0,537463775;-1,073567236;-0,133060504;260;260;151,4132439;3,540022678
0;0,809478416;-0,509634782;-1,080749346;-0,127425804;260;260;151,3968412;3,136933797
0;-5,427417629;-0,527784126;-1,034863645;-0,147147253;260;260;151,3312304;4,476931969
0;0,15296304;-0,485032339;-1,057606993;-0,151574517;260;260;151,3312304;5,239532554
0;-5,427417629;-0,509231464;-1,071572206;-0,143927424;260;260;151,3804385;5,28310973
0;-9,366509836;-0,524557576;-1,082744376;-0,100057262;260;260;151,3804385;8,486032188
0;-7,72522142;-0,51044142;-1,099103625;-0,138695203;260;260;151,3722372;6,296279079
0;-6,740448368;-0,501165089;-1,052020907;-0,133060504;260;260;151,4214453;7,919528896
0;-9,366509836;-0,538270413;-1,054414944;-0,147549731;260;260;151,437848;4,237257499
0;-10,35128288;-0,489065526;-1,060001029;-0,149964603;260;260;151,3558345;4,095631676
0;-8,70999447;-0,480595832;-1,062794072;-0,126620847;260;260;151,2656196;4,280834675
0;-11,00779825;-0,498745176;-1,05680898;-0,158014173;260;260;151,45015;4,890915143
0;-6,083932999;-0,508424826;-1,083143382;-0,122193583;260;260;151,3640358;0,620351866
0;-4,114386888;-0,459219938;-1,034863645;-0,156001781;260;260;151,5485662;2,788316387
0;-13,6338597;-0,475756007;-1,06399109;-0,153184431;260;260;151,3435325;2,755633505
0;-8,053479103;-0,503585001;-1,050823889;-0,141110075;260;260;151,5485662;8,061154719
0;-13,6338597;-0,509231464;-1,067582145;-0,15076956;260;260;151,4296466;5,163272495
0;2,12250917;-0,517297838;-1,062794072;-0,154391867;260;260;151,2246129;1,252220922
0;-8,70999447;-0,518911113;-1,075961273;-0,143122467;260;260;151,4050426;1,982138625
0;-6,740448368;-0,505601595;-1,054414944;-0,164051351;260;260;151,3394318;0,936286394
0;-6,412190683;-0,527380807;-1,089926486;-0,118973755;260;260;151,5157608;-1,307938185
0;-8,381736787;-0,50398832;-1,052020907;-0,14795221;260;260;151,4214453;1,448318216
0;-9,366509836;-0,469706226;-1,097108595;-0,149159646;260;260;151,5116601;0,064742868
0;-7,72522142;-0,518104476;-1,070774193;-0,159221609;260;260;151,4337473;0,860026336
0;-12,32082898;-0,521331026;-1,069178169;-0,141512553;260;260;151,3107271;-0,229403072
0;-1,816583084;-0,506811551;-1,079153321;-0,180552971;260;260;151,3640358;-1,994278712
0;-5,755675314;-0,512861332;-1,082744376;-0,141110075;260;260;151,3558345;0,838237748
0;-6,083932999;-0,535447182;-1,06199606;-0,156404259;260;260;151,3435325;2,98441368
0;-5,099159944;-0,482612426;-1,056409974;-0,182565364;260;260;151,765902;2,058398684
0;-11,99257129;-0,493502032;-1,084739406;-0,150367081;260;260;151,4050426;2,080187272
0;-3,12961383;-0,475352689;-1,078355309;-0,151172038;260;260;151,3599352;1,197749452
0;-8,70999447;-0,495518626;-1,068779163;-0,16727118;260;260;151,2943244;3,126039503
0;-10,0230252;-0,506811551;-1,072769224;-0,162441437;260;260;151,261519;-0,109565837
0;-4,114386888;-0,527784126;-1,086335431;-0,152379474;260;260;151,4009419;3,703437089
0;-0,503552335;-0,527784126;-1,087133443;-0,130645632;260;260;151,3394318;6,427010608
0;-7,72522142;-0,496325264;-1,080749346;-0,166063744;260;260;151,5116601;0,653034748
0;-10,67954057;-0,501568407;-1,072370218;-0,136280332;260;260;151,1836061;0,816449159
0;-5,755675314;-0,506408232;-1,062395066;-0,141512553;260;260;151,3722372;4,858232261
0;1,137736104;-0,483419064;-1,086734437;-0,161234002;260;260;151,4747541;2,831893563
0;-11,99257129;-0,531817313;-1,096310583;-0,161234002;260;260;151,3763379;4,150103146
0;-6,740448368;-0,512054695;-1,067981151;-0,154391867;260;260;151,4952574;6,252701903
0;-10,0230252;-0,46849627;-1,065188108;-0,119376233;260;260;151,1795055;3,790591442
0;-4,114386888;-0,495115307;-1,087931455;-0,152781952;260;260;151,3599352;3,616282737
0;-5,755675314;-0,499955132;-1,069577175;-0,133462982;260;260;151,3435325;7,156928311
0;-17,57295186;-0,525364213;-1,065188108;-0,156001781;260;260;151,425546;7,189611193
0;-6,412190683;-0,524960894;-1,063193078;-0,123803497;260;260;151,3476331;9,444730067
0;-5,755675314;-0,544723513;-1,057606993;-0,15881913;260;260;151,5034588;6,535953549
0;-14,61863274;-0,516087882;-1,0843404;-0,151976995;260;260;151,122096;6,634002195
0;-4,442644573;-0,536253819;-1,043242773;-0,123401019;260;260;151,4132439;2,091081566
0;-3,12961383;-0,512861332;-1,085537419;-0,154794345;260;260;151,3599352;4,291728969
0;0,809478416;-0,508021507;-1,097906607;-0,16445383;260;260;151,4091433;4,248151793
0;-5,427417629;-0,515281245;-1,080749346;-0,133060504;260;260;151,4091433;7,451074251
0;-7,396963736;-0,541093644;-1,105886729;-0,164856308;260;260;151,3230291;5,010752378
