Effort;Pression 1;pression2;position
-94,71273571;26,43066951;0,183963042;-0,81
-94,15576532;26,42860421;0,211959345;-0,81
-94,22780302;26,42860421;0,208287699;-0,81
-94,53182911;26,42803052;0,192683202;-0,81
-94,43106651;26,43089899;0,19836278;-0,81
-94,35400668;26,42682576;0,201518101;-0,81
-94,68413817;26,44174182;0,187519949;-0,81
-93,98390818;26,42022827;0,219130529;-0,81
-94,60008731;26,44214341;0,191880029;-0,81
-94,14463335;26,42137566;0,211156172;-0,81
-94,38645256;26,42889106;0,200255972;-0,81
-93,63042846;26,44472503;0,241791471;-0,81
-94,50148983;26,41563871;0,191880029;-0,81
-93,78695418;26,4344559;0,231866552;-0,81
-94,28970354;26,41649925;0,202837598;-0,81
-94,49397214;26,44145497;0,197158021;-0,81
-91,6699483;26,42120355;0,337254276;-0,81
-94,57007848;26,44799509;0,194519025;-0,81
-95,71880582;26,42395728;0,131412603;-0,81
-94,64171689;26,49630019;0,200026494;-0,81
-96,7410851;26,41282761;0,07719845;-0,81
-94,71169962;26,47547507;0,192511093;-0,81
-94,56995456;26,41770401;0,188782077;-0,81
-94,24380566;26,41747453;0,205361855;-0,81
-94,72154078;26,4923417;0,195207458;-0,81
-94,10268708;26,42946475;0,214827819;-0,81
-94,63256761;26,52349332;0,205648703;-0,81
-94,37249457;26,41454869;0,198248041;-0,81
-94,76642321;26,49744758;0,193887961;-0,81
-94,22916268;26,42745682;0,208000851;-0,81
-94,34677125;26,42367044;0,201288623;-0,81
-94,3305311;26,42051512;0,201518101;-0,81
-93,62735804;26,33618199;0,221367939;-0,81
-94,47520888;26,41976931;0,194002699;-0,81
-93,6865599;26,36268669;0,22337587;-0,81
-94,41471965;26,43709489;0,200370711;-0,81
-92,58149647;26,42539152;0,291588175;-0,81
-94,20020371;26,33767359;0,192453724;-0,81
-95,50930168;26,4323906;0,143689671;-0,81
-93,82513127;26,29917868;0,204271835;-0,81
-94,39324396;26,42980897;0,200083864;-0,81
-92,01623733;26,33153506;0,302603114;-0,81
-94,47638266;26,42946475;0,195781153;-0,81
-96,80670315;26,39022403;0,06956831;-0,81
-94,24295545;26,41391763;0,204730791;-0,81
-95,6810349;26,42923528;0,134338447;-0,81
-94,16535176;26,42906317;0,211557759;-0,81
-94,50212663;26,41913825;0,192511093;-0,81
-94,33788701;26,43852913;0,204558683;-0,81
-94,21540089;26,42980897;0,209148241;-0,81
-94,58710689;26,42080196;0,18849523;-0,81
-94,30279066;26,42848947;0,204443944;-0,81
-94,20288516;26,42825999;0,209492457;-0,81
-94,4701007;26,42384254;0,19503535;-0,81
-94,57915892;26,4310711;0,190847378;-0,81
-94,34980035;26,42206409;0,200829667;-0,81
-94,27506744;26,41982668;0,204214466;-0,81
-93,8763886;26,42642417;0,225785388;-0,81
-94,40021091;26,42986634;0,199739647;-0,81
-94,12613169;26,42820262;0,213393582;-0,81
-94,33855135;26,43416905;0,203698141;-0,81
-91,92647591;26,43055477;0,32595249;-0,81
-94,64813654;26,42510467;0,186200451;-0,81
-96,81317099;26,42252305;0,075362627;-0,81
-94,37590232;26,42212146;0,199510169;-0,81
-94,62285381;26,42103144;0,186716776;-0,81
-93,8157135;26,41707295;0,227104886;-0,81
-94,53455186;26,44116813;0,19503535;-0,81
-97,10761752;26,41483554;0,058897588;-0,81
-94,35534569;26,42688313;0,201460731;-0,81
-95,062997;26,44070917;0,168014328;-0,81
-94,59461426;26,42372781;0,188667338;-0,81
-94,28017217;26,4378407;0,207369787;-0,81
-94,54808303;26,41787612;0,189929467;-0,81
-94,5747082;26,41867929;0,188724708;-0,81
-94,71854953;26,4385865;0,1851678;-0,81
-94,45323752;26,42263779;0,195666414;-0,81
-94,35581726;26,44002074;0,203927618;-0,81
-94,42176577;26,41690084;0,19618274;-0,81
-94,65155461;26,44145497;0,189126294;-0,81
-94,28651265;26,42441624;0,204501313;-0,81
-94,31377806;26,42539152;0,203296554;-0,81
-94,2443392;26,42699787;0,207140309;-0,81
-94,38616342;26,4645175;0,20702557;-0,81
-93,30331575;26,4194251;0,253666952;-0,81
-94,93344411;26,50966728;0,187692057;-0,81
-91,63309645;26,41976931;0,338860621;-0,81
-94,41877108;26,42275252;0,197444868;-0,81
-97,20404298;26,45860845;0,062282387;-0,81
-94,36819874;26,42126092;0,199739647;-0,81
-94,75587641;26,52487019;0,199624908;-0,81
-95,3678733;26,40617275;0,14592708;-0,81
-94,80422166;26,52182961;0,196584326;-0,81
-96,86865186;26,42533415;0,073067848;-0,81
-94,57801268;26,46979549;0,198248041;-0,81
-94,65075947;26,42217883;0,185512017;-0,81
-94,14764869;26,37679958;0,202550751;-0,81
-94,22768599;26,42917791;0,208402437;-0,81
-94,38275567;26,34438582;0,184421997;-0,81
-94,187003;26,43548855;0,211672497;-0,81
-94,26619008;26,42803052;0,206222397;-0,81
-94,20046876;26,38161861;0,200772297;-0,81
-94,58489702;26,43715226;0,191707921;-0,81
-93,91013218;26,31839745;0,203583402;-0,81
-94,56373457;26,42722734;0,190904748;-0,81
-93,59279523;26,31690585;0,219474746;-0,81
-94,4943852;26,41735979;0,192568463;-0,81
-94,17596052;26,37926646;0,20157547;-0,81
-94,40656515;26,42189198;0,197903824;-0,81
-92,64706289;26,41517975;0,286310183;-0,81
-94,37344117;26,41873666;0,198993844;-0,81
-92,61009744;26,41099178;0,287400203;-0,81
-94,32972563;26,42998108;0,203353924;-0,81
-96,38095855;26,42797315;0,098425156;-0,81
-94,10536853;26,40749224;0,210525108;-0,81
-94,56498751;26,43543118;0,192396354;-0,81
-96,84633284;26,42659628;0,074444716;-0,81
-94,55440973;26,41776138;0,18958525;-0,81
-95,98905735;26,43003845;0,118791319;-0,81
-94,5347102;26,4194251;0,190904748;-0,81
-94,42214097;26,42940738;0,198534888;-0,81
-94,41097801;26,41460606;0,196297478;-0,81
-94,31325485;26,42464572;0,203181815;-0,81
-94,5479832;26,42057248;0,190445792;-0,81
-94,18803565;26,41277024;0,207312417;-0,81
-94,32054192;26,43416905;0,204616052;-0,81
-94,47719501;26,41334393;0,192683202;-0,81
-94,42812001;26,4276863;0,197903824;-0,81
-94,28147675;26,41489291;0,202952337;-0,81
-94,57643617;26,43669331;0,192052137;-0,81
-93,81182385;26,42510467;0,22882597;-0,81
-94,19680285;26,41724506;0,207714004;-0,81
-93,99583185;26,43130058;0,220622135;-0,81
-94,38559202;26,41655662;0,197961193;-0,81
-91,57124068;26,44489714;0,346777609;-0,81
-94,40562888;26,42648154;0,198821735;-0,81
-94,21978277;26,43371009;0,209664566;-0,81
-94,49219942;26,42917791;0,194920611;-0,81
-95,77556029;26,41500765;0,126823045;-0,81
-94,0170356;26,43881598;0,220966352;-0,81
-94,3986998;26,40858226;0,195781153;-0,81
-97,53039497;26,43135795;0,040481987;-0,81
-94,28474681;26,42424413;0,204558683;-0,81
-94,83104648;26,44220078;0,180119287;-0,81
-94,22980636;26,4243015;0,207369787;-0,81
-94,52728544;26,43044003;0,193371635;-0,81
-94,63803033;26,4393323;0,189413142;-0,81
-94,39070364;26,4466756;0,203411293;-0,81
-94,31746807;26,42275252;0,202608121;-0,81
-95,03920129;26,53749147;0,187577318;-0,81
-94,03637715;26,40800857;0,214139385;-0,81
-94,34233429;26,41672873;0,200198603;-0,81
-94,19547073;26,44805246;0,21362306;-0,81
-93,97049749;26,42085933;0,219933702;-0,81
-94,58313118;26,49325961;0,202436012;-0,81
-93,98868935;26,41334393;0,217581553;-0,81
-94,85142756;26,53209874;0,19612537;-0,81
-93,59081942;26,42590785;0,240242496;-0,81
-94,92027437;26,50249609;0,187003624;-0,81
-91,85915398;26,41185232;0,325837751;-0,81
-94,46700275;26,41695821;0,193887961;-0,81
-95,81157226;26,4216625;0,126249351;-0,81
-94,12481678;26,32981398;0,194805872;-0,81
-95,33602292;26,42877632;0,151836136;-0,81
-94,53089972;26,42596522;0,192338985;-0,81
-94,49325961;26,41735979;0,192625832;-0,81
-96,9685608;26,4222362;0,06738827;-0,81
-94,15717661;26,34002574;0,19509272;-0,81
-94,41697427;26,43376746;0,199624908;-0,81
-94,11928178;26,31501265;0,192281615;-0,81
-94,38941627;26,43422642;0,201116514;-0,81
-93,98929861;26,34966381;0,205476594;-0,81
-94,29264659;26,42303937;0,203927618;-0,81
-94,1003292;26,40129634;0,209607196;-0,81
-94,60776334;26,43210375;0,18958525;-0,81
-94,37016422;26,4160403;0,198649627;-0,81
-94,25735059;26,41839244;0,20484553;-0,81
-94,22617487;26,42665365;0,208000851;-0,81
-93,91871006;26,39332198;0,217352075;-0,81
-94,46257268;26,44088128;0,198649627;-0,81
-94,31513772;26,42424413;0,203009707;-0,81
-94,27453734;26,42573574;0,205361855;-0,81
-92,88718512;26,43101373;0,277073698;-0,81
-94,5334125;26,41695821;0,190503162;-0,81
-92,71372048;26,41948246;0,283728557;-0,81
-94,28092601;26,42200672;0,204329205;-0,81
-96,93083463;26,42177724;0,069224094;-0,81
-94,48471615;26,42171987;0,193887961;-0,81
-94,59464868;26,42797315;0,189470511;-0,81
-94,73661403;26,44162708;0,184823584;-0,81
-94,20348754;26,42751419;0,209320349;-0,81
-95,69384321;26,42935001;0,133707382;-0,81
-94,22359669;26,42384254;0,207599265;-0,81
-94,07374189;26,4201709;0,214540971;-0,81
-94,37356509;26,43026793;0,201173884;-0,81
-94,53722987;26,42252305;0,191363704;-0,81
-94,47735679;26,42579311;0,19503535;-0,81
-94,55957298;26,43548855;0,192683202;-0,81
-94,46396331;26,42854684;0,196240109;-0,81
-94,43263614;26,4331364;0,198706996;-0,81
-94,08013055;26,4352017;0,217065228;-0,81
-94,29283247;26,43095636;0,205419225;-0,81
-94,32027688;26,42774367;0,203411293;-0,81
-94,00830282;26,4385865;0,221367939;-0,81
-94,41725653;26,4235557;0,197674346;-0,81
-94,07185214;26,44598716;0,219532115;-0,81
-94,43891121;26,42665365;0,197158021;-0,81
-91,98713724;26,45321572;0,327157249;-0,81
-94,49666736;26,40617275;0,190331053;-0,81
-94,09206799;26,43296429;0,216032578;-0,81
-94,38353705;26,43325114;0,201231253;-0,81
-97,28508195;26,44317606;0,055225942;-0,81
-94,33024884;26,43072688;0,203468663;-0,81
-95,01274823;26,53915519;0,189241033;-0,81
-94,68170112;26,41506502;0,182586174;-0,81
-94,4885163;26,42516204;0,194346916;-0,81
-95,30591083;26,42189198;0,152065614;-0,81
-94,48955584;26,41454869;0,192281615;-0,81
-94,43457408;26,47329503;0,206222397;-0,81
-94,35800648;26,4248752;0,200944406;-0,81
-94,79047708;26,50754461;0,194576394;-0,81
