SPR400_DPL;SPR400_Effort;KistlerKBeam_8396A050CTTA00_5506138_X;KistlerKBeam_8396A050CTTA00_5506138_Y;KistlerKBeam_8396A050CTTA00_5506138_Z;Laser_Point_uEpsilon_OptNCDT_1401_1;Laser_Point_uEpsilon_OptNCDT_1401_2;Laser_Point_uEpsilon_OptNCDT_1401_3;DMMC_6300kN_ForgeAddicctt
0;-4,248962907;-0,826239958;0,727547677;-0,159624088;60;260;260;1005,593715
0;-1,352422099;-0,789941279;0,718370518;-0,186992627;60;260;260;1008,456603
0;3,862666647;-0,84358266;0,729542712;-0,144732382;60;260;260;1007,462241
0;1,01210148;-0,808897256;0,744305968;-0,165258787;60;260;260;1009,472819
0;-0,189864729;-0,84075943;0,711188394;-0,169283572;60;260;260;1010,194004
0;2,700108876;-0,836726243;0,713183428;-0,172905879;60;260;260;1007,385751
0;-1,431239544;-0,823013409;0,756276176;-0,160831523;60;260;260;1006,063578
0;-6,974732091;-0,835919606;0,71039038;-0,153184431;60;260;260;1009,177788
0;-6,074899905;-0,824626684;0,74270994;-0,173710836;60;260;260;1011,297636
0;-0,794131849;-0,836726243;0,755079155;-0,165661266;60;260;260;1008,937393
0;-6,107740496;-0,848825803;0,722759594;-0,160831523;60;260;260;1010,642013
0;-1,792486161;-0,811317168;0,775827517;-0,137487768;60;260;260;1011,898624
0;-0,918926143;-0,835516287;0,719567539;-0,166063744;60;260;260;1009,42911
0;5,012088296;-0,873024922;0,715178463;-0,141110075;60;260;260;1009,69136
0;-1,004311711;-0,877058108;0,747099016;-0,169283572;60;260;260;1010,390691
0;-1,332717738;-0,821400135;0,694031097;-0,170088529;60;260;260;1008,76256
0;-5,352406873;-0,865765186;0,738719871;-0,185382713;60;260;260;1009,199642
0;-3,211200056;-0,831483101;0,717971511;-0,167673658;60;260;260;1006,456952
0;-2,547819966;-0,821400135;0,709592366;-0,168076137;60;260;260;1007,287408
0;-1,010879832;-0,826643277;0,740315899;-0,166466223;60;260;260;1005,571861
0;-1,339285858;-0,841162749;0,700814214;-0,19182237;60;260;260;1009,374475
0;1,971047286;-0,837129562;0,726749663;-0,181357928;60;260;260;1008,248989
0;-2,442730047;-0,848825803;0,739517885;-0,174918272;60;260;260;1012,128092
0;2,292885279;-0,81373708;0,74670001;-0,173710836;60;260;260;1006,894034
0;-9,536297922;-0,87947802;0,681661883;-0,166868701;60;260;260;1010,073806
0;-4,958319752;-0,835112969;0,727946684;-0,112131619;60;260;260;1009,024809
0;-2,764567919;-0,837936199;0,719966546;-0,135877854;60;260;260;1007,986739
0;-1,352422099;-0,847615847;0,691637055;-0,170893486;60;260;260;1008,740706
0;2,535905811;-0,850439077;0,742310933;-0,175723229;60;260;260;1008,828122
0;0,164813813;-0,829063189;0,702011235;-0,179345535;60;260;260;1005,571861
0;-3,73008149;-0,893997491;0,731537746;-0,158014173;60;260;260;1006,68642
0;-5,31956628;-0,850842396;0,757872204;-0,174918272;60;260;260;1007,05794
0;-6,593781244;-0,832289738;0,730739732;-0,162843916;60;260;260;1005,27683
0;-0,531407018;-0,836322925;0,735527815;-0,159624088;60;260;260;1006,293046
0;-2,909066553;-0,853665627;0,731138739;-0,178540578;60;260;260;1007,254627
0;-0,130751639;-0,836726243;0,730739732;-0,147549731;60;260;260;1005,757621
0;2,897152557;-0,854068945;0,750291072;-0,163648873;60;260;260;1007,790052
0;-0,735018763;-0,823013409;0,684055925;-0,172503401;60;260;260;1009,057591
0;3,067923751;-0,892787535;0,725153635;-0,1781381;60;260;260;1009,888047
0;-4,577368858;-0,848019166;0,724754629;-0,169283572;60;260;260;1006,828472
0;-3,270313131;-0,822206772;0,749094051;-0,182565364;60;260;260;1009,199642
0;-10,43612994;-0,863748593;0,708395345;-0,161234002;60;260;260;1007,123502
0;-6,830233495;-0,815350355;0,745901996;-0,149159646;60;260;260;1006,861253
0;-0,840108694;-0,823820047;0,729941719;-0,172905879;60;260;260;1007,199992
0;-5,024000939;-0,867378461;0,7518871;-0,168478615;60;260;260;1006,380463
0;-2,239118329;-0,835112969;0,722360587;-0,178943057;60;260;260;1007,953958
0;-6,784256668;-0,862538637;0,723158601;-0,183772799;60;260;260;1008,380113
0;-1,142242243;-0,847615847;0,704006269;-0,159221609;60;260;260;1012,007895
0;-1,477216387;-0,833499694;0,73233576;-0,184980235;60;260;260;1010,489034
0;-1,10283352;-0,81978686;0,740714906;-0,173710836;60;260;260;1010,980752
0;0,578605457;-0,84358266;0,736325829;-0,157209216;60;260;260;1012,193655
0;2,430815851;-0,829869826;0,766650357;-0,186992627;60;260;260;1012,871132
0;-0,577383864;-0,837129562;0,723557608;-0,174515793;60;260;260;1009,265205
0;3,140173102;-0,852052352;0,757473197;-0,162843916;60;260;260;1010,161223
0;-2,534683726;-0,844792616;0,747099016;-0,179748014;60;260;260;1013,876421
0;-2,626637404;-0,844792616;0,688045993;-0,14795221;60;260;260;1010,958898
0;-4,518255787;-0,845195935;0,732734767;-0,179748014;60;260;260;1014,586679
0;-4,459142716;-0,812527124;0,729143705;-0,16727118;60;260;260;1009,112226
0;-1,444375785;-0,856892176;0,724754629;-0,156001781;60;260;260;1009,363548
0;-3,927125069;-0,843985979;0,726749663;-0,148354688;60;260;260;1010,609232
0;4,329003415;-0,846405891;0,716375483;-0,18618767;60;260;260;1007,320189
0;-1,490352627;-0,872621603;0,714380449;-0,166868701;60;260;260;1009,363548
0;0,131973206;-0,834306331;0,740315899;-0,127828283;60;260;260;1007,396679
0;-5,004296583;-0,807283982;0,747498023;-0,172905879;60;260;260;1008,631435
0;-9,766182018;-0,874638196;0,722759594;-0,149159646;60;260;260;1008,380113
0;-3,959965665;-0,829063189;0,749892065;-0,176125707;60;260;260;1009,221496
0;-7,158639393;-0,873831559;0,724355622;-0,156806738;60;260;260;1009,046663
0;-3,592150984;-0,868588417;0,752286107;-0,148354688;60;260;260;1008,292697
0;6,240327572;-0,816560311;0,698021166;-0,182162885;60;260;260;1009,450964
0;0,54576485;-0,84075943;0,704405276;-0,187797584;60;260;260;1009,145007
0;-1,378694581;-0,87060501;0,740315899;-0,152781952;60;260;260;1006,697347
0;-3,802330803;-0,834306331;0,714380449;-0,209531424;60;260;260;1008,871831
0;-1,864735483;-0,846405891;0,720764559;-0,184980235;60;260;260;1008,609581
0;1,990751652;-0,838339518;0,749493058;-0,143122467;60;260;260;1004,883456
0;-1,746509319;-0,806477344;0,722360587;-0,193432284;60;260;260;1005,287757
0;-4,886070445;-0,83188642;0,685252945;-0,160026566;60;260;260;1007,221846
0;-3,900852592;-0,853262308;0,726749663;-0,156806738;60;260;260;1004,12949
0;-0,288386544;-0,80163752;0,720764559;-0,211141338;60;260;260;1008,161572
0;-5,799038933;-0,866975142;0,713981442;-0,151574517;60;260;260;1010,303275
0;-4,978024108;-0,833499694;0,721163566;-0,169686051;60;260;260;1006,402317
0;-0,886085539;-0,841566067;0,725951649;-0,169283572;60;260;260;1005,244049
0;-8,104448347;-0,857698813;0,746301003;-0,156806738;60;260;260;1008,216207
0;2,542473934;-0,835919606;0,742310933;-0,191017413;60;260;260;1007,844688
0;-2,895930314;-0,854472264;0,758271211;-0,173308358;60;260;260;1009,035736
0;-4,807253019;-0,837532881;0,731138739;-0,149159646;60;260;260;1009,636724
0;-0,984607349;-0,810107212;0,717971511;-0,171295965;60;260;260;1008,729779
0;-5,332702517;-0,828256552;0,718370518;-0,165661266;60;260;260;1010,019171
0;-7,802314936;-0,840356111;0,69881918;-0,149159646;60;260;260;1008,478457
0;-8,997712314;-0,838339518;0,724754629;-0,1781381;60;260;260;1008,696998
0;-3,053565186;-0,853665627;0,729542712;-0,141915032;60;260;260;1011,144658
0;-7,349114811;-0,826239958;0,732734767;-0,155196824;60;260;260;1007,025159
0;-7,716929406;-0,820190179;0,739118878;-0,176125707;60;260;260;1011,406907
0;2,365134626;-0,863748593;0,733532781;-0,152379474;60;260;260;1010,642013
0;-8,104448347;-0,813333761;0,725153635;-0,172100922;60;260;260;1009,920828
0;-11,59868659;-0,839146155;0,737123843;-0,197859547;60;260;260;1011,264855
0;-8,859781851;-0,863345274;0,721163566;-0,167673658;60;260;260;1011,385053
0;-2,074915328;-0,851245715;0,709193359;-0,173308358;60;260;260;1010,073806
0;-4,216122312;-0,817770267;0,720365552;-0,188200063;60;260;260;1009,975463
0;-6,107740496;-0,848422484;0,757872204;-0,181760407;60;260;260;1012,488685
0;-4,084759929;-0,819383541;0,758670218;-0,206311596;60;260;260;1007,833761
0;0,118836964;-0,855278901;0,724754629;-0,158416652;60;260;260;1010,72943
0;-10,23251832;-0,832693057;0,747498023;-0,156001781;60;260;260;1006,118213
0;-2,554388085;-0,841566067;0,735527815;-0,181760407;60;260;260;1009,745995
0;-0,340931511;-0,841566067;0,738719871;-0,145939817;60;260;260;1006,708274
0;-5,884424472;-0,850035759;0,727547677;-0,161234002;60;260;260;1008,085083
0;-3,244040653;-0,845599254;0,721163566;-0,196652112;60;260;260;1005,178487
0;-5,496905482;-0,849229122;0,725153635;-0,160026566;60;260;260;1007,637074
0;-3,020724587;-0,861328681;0,73752285;-0,179748014;60;260;260;1008,500311
0;2,102409731;-0,830676464;0,723557608;-0,157611695;60;260;260;1008,489384
0;-4,202986073;-0,848422484;0,731936753;-0,146342296;60;260;260;1007,363897
0;-3,756353968;-0,842372705;0,765453336;-0,187395106;60;260;260;1004,12949
0;-2,390185088;-0,848019166;0,732734767;-0,172100922;60;260;260;1008,434749
0;-4,452574597;-0,851245715;0,742310933;-0,164856308;60;260;260;1006,446025
0;-7,743201877;-0,837129562;0,733133774;-0,143122467;60;260;260;1003,080493
0;-1,516625109;-0,816560311;0,724754629;-0,166063744;60;260;260;1007,2437
0;0,618014186;-0,81978686;0,747099016;-0,194639719;60;260;260;1004,632134
0;1,655777423;-0,812527124;0,70520329;-0,192627327;60;260;260;1007,53873
0;1,649209301;-0,882704569;0,724754629;-0,179748014;60;260;260;1007,287408
0;-5,647972208;-0,801234202;0,744305968;-0,129035718;60;260;260;1005,998016
0;-8,518239748;-0,827853233;0,696824145;-0,177333143;60;260;260;1009,953609
0;1,044942089;-0,848825803;0,719966546;-0,162038959;60;260;260;1007,418533
0;-4,262099145;-0,85568222;0,71557747;-0,184175278;60;260;260;1004,927165
0;2,404543361;-0,833499694;0,712784421;-0,16445383;60;260;260;1007,440387
0;-9,4509124;-0,850842396;0,756675183;-0,151574517;60;260;260;1008,161572
0;-8,28178752;-0,853262308;0,745901996;-0,207519032;60;260;260;1009,844338
0;-4,610209452;-0,836322925;0,734729802;-0,173308358;60;260;260;1009,975463
0;-4,524823906;-0,856085539;0,717173497;-0,143927424;60;260;260;1008,380113
0;-0,570815743;-0,825433321;0,745901996;-0,173710836;60;260;260;1008,39104
0;-6,186557916;-0,848825803;0,742310933;-0,171698443;60;260;260;1006,413244
0;-3,473924835;-0,854068945;0,728744698;-0,14795221;60;260;260;1009,013882
0;3,468579253;-0,82583664;0,771837447;-0,183772799;60;260;260;1010,707576
0;-6,173421679;-0,809300575;0,751488093;-0,179748014;60;260;260;1006,511587
0;-0,334363391;-0,861732;0,727547677;-0,163648873;60;260;260;1008,412894
0;-7,487045285;-0,817366948;0,737123843;-0,145939817;60;260;260;1011,756573
0;-5,661108445;-0,853262308;0,7518871;-0,16445383;60;260;260;1014,226087
0;-6,363897108;-0,822610091;0,763059294;-0,151172038;60;260;260;1006,970523
0;1,498142495;-0,8076873;0,711188394;-0,175723229;60;260;260;1012,412196
0;-4,872934207;-0,837936199;0,734729802;-0,149159646;60;260;260;1008,992028
0;-5,542882312;-0,838339518;0,745502989;-0,146744774;60;260;260;1013,504901
0;-1,628283155;-0,856488857;0,756276176;-0,186992627;60;260;260;1008,150645
0;-2,120892168;-0,823820047;0,736724836;-0,162843916;60;260;260;1010,65294
0;7,173001349;-0,817366948;0,749094051;-0,175723229;60;260;260;1008,052302
0;-3,230904414;-0,827449914;0,727547677;-0,143524946;60;260;260;1006,446025
0;-8,997712314;-0,852052352;0,755478162;-0,170893486;60;260;260;1009,888047
0;-11,67750398;-0,829869826;0,729143705;-0,160026566;60;260;260;1006,01987
0;-3,158655099;-0,83188642;0,713981442;-0,178540578;60;260;260;1010,073806
0;1,885661697;-0,856488857;0,712385414;-0,152781952;60;260;260;1007,604293
0;-3,178359458;-0,817366948;0,706799318;-0,17532075;60;260;260;1008,544019
0;-4,866366088;-0,87060501;0,722759594;-0,172503401;60;260;260;1008,041375
0;-5,569154786;-0,835919606;0,733532781;-0,156806738;60;260;260;1009,582089
0;-5,161931432;-0,837532881;0,734729802;-0,150367081;60;260;260;1007,626147
0;-3,309721848;-0,833903013;0,740315899;-0,153989388;60;260;260;1009,210569
0;-2,613501164;-0,842372705;0,713183428;-0,166868701;60;260;260;1007,768198
0;-7,171775629;-0,862135318;0,733931788;-0,1781381;60;260;260;1006,50066
0;0,54576485;-0,80486407;0,722759594;-0,15881913;60;260;260;1008,161572
0;-2,797408518;-0,805267388;0,723557608;-0,180150493;60;260;260;1009,363548
0;-1,943552925;-0,845195935;0,724754629;-0,171295965;60;260;260;1007,505949
0;-2,764567919;-0,864958549;0,728345691;-0,163648873;60;260;260;1010,510889
0;-5,871288235;-0,835919606;0,725153635;-0,177333143;60;260;260;1008,94832
0;-1,989529766;-0,83188642;0,725552642;-0,161234002;60;260;260;1008,94832
0;-9,378663111;-0,850842396;0,783009642;-0,172100922;60;260;260;1010,128442
0;3,455443007;-0,817366948;0,745502989;-0,182967842;60;260;260;1008,828122
0;1,327371325;-0,846405891;0,713183428;-0,189407499;60;260;260;1008,784414
0;-2,232550209;-0,859312088;0,736325829;-0,191419891;60;260;260;1008,074156
0;0,250199389;-0,828256552;0,723956615;-0,183772799;60;260;260;1008,09601
0;-5,693949038;-0,849229122;0,743906961;-0,183772799;60;260;260;1008,358259
0;2,036728508;-0,852858989;0,741911926;-0,154794345;60;260;260;1007,440387
0;-1,089697279;-0,820593497;0,749094051;-0,163648873;60;260;260;1008,94832
0;-8,071607759;-0,853262308;0,691637055;-0,137487768;60;260;260;1008,412894
