SPR400_DPL;SPR400_Effort;KistlerKBeam_8396A050CTTA00_5506138_X;KistlerKBeam_8396A050CTTA00_5506138_Y;KistlerKBeam_8396A050CTTA00_5506138_Z;Laser_Point_uEpsilon_OptNCDT_1401_1;Laser_Point_uEpsilon_OptNCDT_1401_2;Laser_Point_uEpsilon_OptNCDT_1401_3;DMMC_6300kN_ForgeAddicctt
0;-4,442644573;-0,509634782;-1,079153321;-0,14795221;260;260;157,3182159;5,81693014
0;1,794251482;-0,480999151;-1,087931455;-0,15076956;260;260;157,7692902;5,751564375
0;-8,70999447;-0,514474607;-1,064390096;-0,156404259;260;260;157,506847;3,790591442
0;-2,801356144;-0,50398832;-1,074365248;-0,146342296;260;260;157,519149;5,359369789
0;-4,114386888;-0,489872164;-1,070375187;-0,165661266;260;260;157,5601558;3,093356621
0;-4,114386888;-0,498745176;-1,070375187;-0,159624088;260;260;157,6216659;2,385227506
0;-4,114386888;-0,509634782;-1,091921516;-0,168076137;260;260;157,4330348;5,490101317
0;-3,12961383;-0,506811551;-1,072370218;-0,160429045;260;260;157,4084308;2,788316387
0;-4,770902259;-0,479789195;-1,083143382;-0,153184431;260;260;157,4248335;1,557261157
0;-1,816583084;-0,473739414;-1,071971212;-0,148354688;260;260;157,5683571;3,845062912
0;-2,144840771;-0,512054695;-1,053616932;-0,141110075;260;260;157,5888605;2,668479152
0;-0,503552335;-0,482612426;-1,094315552;-0,133462982;260;260;157,5396524;2,897259328
0;-4,442644573;-0,484225701;-1,087133443;-0,176125707;260;260;157,5560551;1,677098391
0;-5,099159944;-0,507618189;-1,08035034;-0,156806738;260;260;157,4084308;-2,332001828
0;-5,755675314;-0,510038101;-1,073966242;-0,16445383;260;260;157,4289342;1,393846745
0;-4,770902259;-0,474546051;-1,042843767;-0,132255547;260;260;157,4494375;0,598563278
0;2,779024549;-0,52012107;-1,08234537;-0,137487768;260;260;157,506847;-3,018342355
0;-5,755675314;-0,528994082;-1,089128473;-0,158416652;260;260;157,4822429;-2,321107534
0;-2,473098458;-0,499551814;-1,028878554;-0,170893486;260;260;157,5601558;2,842787857
0;0,809478416;-0,511248057;-1,065587114;-0,138292725;260;260;157,3920281;-0,142248719
0;-3,457871516;-0,526977488;-1,050424883;-0,153989388;260;260;157,3961288;-3,029236649
0;0,481220728;-0,478982557;-1,051222895;-0,138292725;260;260;157,4330348;3,605388443
0;-3,457871516;-0,513264651;-1,072769224;-0,146744774;260;260;157,4125315;0,04295428
0;-10,67954057;-0,504794957;-1,045237804;-0,141512553;260;260;157,8431023;5,3375812
0;-5,427417629;-0,492695395;-1,06598612;-0,143524946;260;260;157,4617396;1,45921251
0;-4,442644573;-0,526574169;-1,060001029;-0,131853068;260;260;157,9579212;2,385227506
0;2,779024549;-0,504794957;-1,058405005;-0,120986147;260;260;157,5150483;0,358888808
0;-8,381736787;-0,498341857;-1,054015938;-0,135877854;260;260;157,3920281;0,315311632
0;-3,786129202;-0,503585001;-1,067981151;-0,136682811;260;260;157,4904443;2,820999269
0;-2,144840771;-0,507618189;-1,059203017;-0,128230761;260;260;157,4043301;3,954005853
0;-4,114386888;-0,518507795;-1,087133443;-0,137487768;260;260;157,6175652;2,962625092
0;1,465993793;-0,529397401;-1,043641779;-0,127828283;260;260;157,4986456;2,777422093
0;-0,831810023;-0,521331026;-1,07316823;-0,133865461;260;260;157,3797261;4,45514338
0;-10,0230252;-0,512054695;-1,064789102;-0,151574517;260;260;157,4084308;6,808310901
0;-7,068706052;-0,510844739;-1,063193078;-0,130645632;260;260;157,5478537;9,248632773
0;-1,16006771;-0,512861332;-1,072370218;-0,12581589;260;260;157,6421693;5,04343526
0;-0,503552335;-0,49430867;-1,085936425;-0,150367081;260;260;157,4453369;5,860507316
0;-5,427417629;-0,547950062;-1,076759285;-0,143927424;260;260;157,4494375;6,840993783
0;-7,068706052;-0,530204038;-1,04563681;-0,131853068;260;260;157,3797261;5,969450257
0;-0,831810023;-0,48462902;-1,058804011;-0,121388626;260;260;157,3756254;4,564086321
0;-1,488325397;-0,503585001;-1,080749346;-0,13145059;260;260;157,5683571;5,261321142
0;2,450766859;-0,546336787;-1,111073808;-0,112131619;260;260;157,3469207;4,128314558
0;-2,473098458;-0,558033031;-1,068380157;-0,145939817;260;260;157,683176;2,091081566
