SPR400_DPL;SPR400_Effort;KistlerKBeam_8396A050CTTA00_5506138_X;KistlerKBeam_8396A050CTTA00_5506138_Y;KistlerKBeam_8396A050CTTA00_5506138_Z;Laser_Point_uEpsilon_OptNCDT_1401_1;Laser_Point_uEpsilon_OptNCDT_1401_2;Laser_Point_uEpsilon_OptNCDT_1401_3;DMMC_6300kN_ForgeAddicctt
0;-2,473098458;-0,476562645;-1,097507601;-0,137890246;260;260;135,4206114;2,210918801
0;1,465993793;-0,490275482;-1,05680898;-0,155196824;260;260;135,4903229;3,191405268
0;0,481220728;-0,509231464;-1,099901638;-0,118571276;260;260;135,4739202;4,825549379
0;-3,12961383;-0,526977488;-1,09351754;-0,146744774;260;260;135,5641351;4,193680323
0;2,779024549;-0,511651376;-1,067981151;-0,139097682;260;260;135,2770878;2,526853329
0;3,107282238;-0,497938539;-1,085138413;-0,130645632;260;260;135,4657189;3,126039503
0;-4,770902259;-0,522137663;-1,115063869;-0,130645632;260;260;135,3919067;3,529128384
0;2,12250917;-0,53262395;-1,074764254;-0,116961362;260;260;135,4042087;6,198230432
0;-1,816583084;-0,514474607;-1,066784133;-0,119376233;260;260;135,4452155;5,119695319
0;3,107282238;-0,508828145;-1,107482753;-0,139902639;260;260;135,4042087;3,441974031
0;0,809478416;-0,501971726;-1,086335431;-0,160026566;260;260;135,3837054;0,402465985
0;2,450766859;-0,48462902;-1,097507601;-0,138292725;260;260;135,2401817;0,979863571
0;5,076828378;-0,504391639;-1,084739406;-0,170491008;260;260;135,4493162;-1,460458302
0;-3,786129202;-0,524557576;-1,06399109;-0,149964603;260;260;135,4001081;-0,218508778
0;-1,16006771;-0,535447182;-1,058405005;-0,134670418;260;260;135,4493162;2,614007682
0;-0,503552335;-0,540690325;-1,081547358;-0,130243154;260;260;135,4903229;2,766527799
-0,00001;3,107282238;-0,508021507;-1,089128473;-0,133865461;260;260;135,4370141;0,380677396
-0,00001;4,092055307;-0,517701157;-1,103093686;-0,137890246;260;260;135,4124101;0,9253921
0;7,046374523;-0,508828145;-1,069178169;-0,11736384;260;260;135,3303966;2,3961218
