Effort;Pression 1;pression2;position
-95,462261;34,10400877;1,600644833;1,37
-92,92230212;34,07509456;1,724620266;1,37
-95,65379358;34,13401301;1,5965716;1,37
-94,61440673;34,06126851;1,635754951;1,37
-95,67512814;34,18392445;1,604947543;1,37
-98,22850115;34,05880162;1,451082614;1,37
-95,5070264;34,05340889;1,588769352;1,37
-95,63361559;34,07291452;1,586015617;1,37
-95,45541453;34,06253064;1,593129432;1,37
-95,771292;34,18042491;1,599382704;1,37
-96,1911264;34,05908847;1,554978732;1,37
-95,50420383;34,13676674;1,604718066;1,37
-95,23123987;34,05128622;1,602423287;1,37
-95,3860927;34,06356329;1,596858448;1,37
-95,17386925;34,05553156;1,606152302;1,37
-95,06015033;33,97624695;1,596915817;1,37
-95,32263633;34,06012112;1,599440074;1,37
-94,74598706;33,94595587;1,607184953;1,37
-95,16785578;34,05300731;1,605980194;1,37
-94,68170112;34,03155112;1,626690574;1,37
-95,39368957;34,07377506;1,598407423;1,37
-95,18793739;34,0759551;1,609307623;1,37
-94,52910291;33,94090736;1,61728198;1,37
-95,43659275;34,07865146;1,597145295;1,37
-94,64600239;33,98473763;1,619634129;1,37
-95,52497043;34,0603506;1,589170938;1,37
-92,82858909;34,01692191;1,718366994;1,37
-95,66516306;34,06172747;1,582286601;1,37
-94,29904558;34,044574;1,648663083;1,37
-95,52922495;34,05604789;1,588138288;1,37
-97,92726667;34,06224379;1,467088697;1,37
-95,27485559;34,06149799;1,602136439;1,37
-95,53871501;34,05587578;1,587621962;1,37
-95,57335011;34,06155536;1,586933529;1,37
-95,36718487;34,06907076;1,598866379;1,37
-96,66559834;34,0616701;1,531285139;1,37
-95,1153214;34,07216871;1,612290836;1,37
-95,63685467;34,07469297;1,586187725;1,37
-95,33201623;34,05386785;1,597776359;1,37
-95,44360101;34,07629931;1,596342122;1,37
-95,48150961;34,06924287;1,593072062;1,37
-95,29945332;34,07113606;1,602710134;1,37
-95,45264359;34,05845741;1,592498368;1,37
-95,26712448;34,06849707;1,603857523;1,37
-95,12772354;34,05220414;1,607873387;1,37
-95,45543863;34,05799845;1,59226889;1,37
-95,32611636;34,05409733;1,598120576;1,37
-94,88541897;34,04486084;1,618830956;1,37
-95,39312849;34,05335152;1,594563669;1,37
-95,32694592;34,05885899;1,598981118;1,37
-95,57645494;34,06178484;1,58681879;1,37
-93,15172953;34,05507261;1,709130508;1,37
-95,45955546;34,0554742;1,591580456;1,37
-93,93364907;34,07010341;1,672127198;1,37
-95,14470031;34,05616263;1,607758648;1,37
-98,17730923;34,07469297;1,456704823;1,37
-95,28832135;34,06390751;1,601906961;1,37
-95,6651906;34,07262767;1,584351902;1,37
-95,04796849;34,06465331;1,614298768;1,37
-95,31068856;34,053581;1,59880901;1,37
-96,71485233;34,06189958;1,528818251;1,37
-95,23552193;34,05788371;1,603455937;1,37
-95,26597823;34,06970182;1,604144371;1,37
-95,35717849;34,06184221;1,598005837;1,37
-95,46982689;34,06912813;1,593645757;1,37
-95,43702647;34,05335152;1,592326259;1,37
-95,3659629;34,0684397;1,59880901;1,37
-95,38398954;34,05180255;1,594735777;1,37
-95,55173673;34,09356753;1,594104713;1,37
-94,98409562;34,05111412;1,614987201;1,37
-95,71110224;34,15214176;1,597087925;1,37
-95,33546185;34,04359871;1,595653689;1,37
-95,1172146;34,06178484;1,610225535;1,37
-95,41167145;34,08163468;1,598981118;1,37
-95,24448533;34,06029323;1,603455937;1,37
-95,51481603;34,13992206;1,604775435;1,37
-93,37506431;34,05277783;1,697312397;1,37
-95,98226939;34,17359794;1,587335115;1,37
-93,79379033;34,06488279;1,678265731;1,37
-95,70545709;34,13125927;1,593416279;1,37
-97,92201736;34,05266309;1,465539722;1,37
-95,32795103;34,0440003;1,596112644;1,37
-95,62478643;34,07205397;1,586302464;1,37
-95,1098518;33,95662659;1,590662544;1,37
-95,22985612;34,0569658;1,603570676;1,37
-96,75984147;34,05765424;1,5257203;1,37
-95,08177403;34,0468114;1,609192885;1,37
-95,25297372;34,05289257;1,601620114;1,37
-95,1037213;33,95467603;1,590605175;1,37
-95,17493632;34,05581841;1,606152302;1,37
-94,86463516;33,93155613;1,598407423;1,37
-95,00869335;34,04199237;1,612003989;1,37
-94,81533643;33,97458324;1,609078146;1,37
-95,3295482;34,05713791;1,598522162;1,37
-94,76712541;34,01669243;1,61951939;1,37
-95,35725421;34,06367803;1,598350054;1,37
-95,20384365;34,04543454;1,602710134;1,37
-94,79979848;34,04302502;1,622846819;1,37
-95,28236984;34,03900916;1,597489512;1,37
-94,8731029;34,01915932;1,614585615;1,37
-95,07241822;34,04853249;1,609996057;1,37
-93,63475182;34,0466393;1,682912659;1,37
-95,26694548;34,05392522;1,601103789;1,37
-93,52807902;34,05971954;1,690829646;1,37
-95,52993059;34,04927829;1,58681879;1,37
-97,72089146;34,04761458;1,474833576;1,37
-95,21006021;34,03923863;1,601218528;1,37
-95,51672299;34,05994901;1,589515155;1,37
-95,31331493;34,04732773;1,597489512;1,37
-95,15800774;34,06155536;1,608102865;1,37
-96,99765745;34,05168781;1,512467951;1,37
-95,45921124;34,05054042;1,590662544;1,37
-95,29910566;34,0507699;1,598866379;1,37
-95,06329647;34,04910618;1,610569752;1,37
-95,04335943;34,05524472;1,612749792;1,37
-95,35816983;34,06029323;1,59766162;1,37
-95,54979879;34,05340889;1,586589312;1,37
-95,20313456;34,03677175;1,601103789;1,37
-95,32209246;34,06058008;1,599554813;1,37
-95,1596944;34,06321907;1,608332342;1,37
-95,40265986;34,0507699;1,593588388;1,37
-95,42328533;34,07325873;1,596801078;1,37
-94,96960065;34,04933566;1,615388788;1,37
-95,39266724;34,04899144;1,593760496;1,37
-95,08643128;34,04715562;1,609020776;1,37
-95,17868484;34,05289257;1,605406499;1,37
-93,80320122;34,06620229;1,678036253;1,37
-95,54948555;34,05604789;1,587105637;1,37
-93,28482442;34,07027552;1,705229384;1,37
-95,34687952;34,05604789;1,597432142;1,37
-97,54410857;34,0733161;1,488716989;1,37
-95,18301509;34,05042568;1,604718066;1,37
-95,60949976;34,06643176;1,586015617;1,37
-95,34181609;34,05438418;1,597374773;1,37
-95,19944112;34,11777744;1,616650916;1,37
-97,29352215;34,04256606;1,495658695;1,37
-95,43806256;34,0460656;1,590892022;1,37
-95,20668688;34,05467102;1,604316479;1,37
-95,35194295;34,0577116;1,597489512;1,37
-95,27184369;34,06522701;1,602996981;1,37
-95,29608688;34,06115377;1,60098905;1,37
-95,54890038;34,11519582;1,598350054;1,37
-95,12585444;34,05805582;1,609078146;1,37
-95,72319458;34,15024857;1,596112644;1,37
-95,059128;34,04526243;1,610053427;1,37
-95,77210435;34,16430409;1,596284753;1,37
-95,39088076;34,06878391;1,597604251;1,37
-94,89160455;34,01233235;1,612348206;1,37
-95,44477479;34,06723494;1,594563669;1,37
-94,87976349;34,05272046;1,62060941;1,37
-95,67675285;34,17044262;1,602308548;1,37
-93,77327845;34,04514769;1,675569366;1,37
-95,6569707;34,12064592;1,593875235;1,37
-92,92935857;34,06367803;1,722096009;1,37
-95,24848513;34,02082303;1,595768428;1,37
-97,2290228;34,05306468;1,500936687;1,37
-94,95960115;33,94165316;1,59548158;1,37
-95,89389516;34,05725265;1,569780056;1,37
-94,7346279;33,93321985;1,60534913;1,37
-95,34842505;34,04405767;1,595079994;1,37
-97,28844495;34,03545225;1,494568675;1,37
-95,11108065;34,0631617;1,61079923;1,37
-95,37772479;34,04830301;1,59439156;1,37
-94,81992828;33,92558971;1,599554813;1,37
-94,94966016;34,05880162;1,618199892;1,37
-94,85105581;33,96391251;1,605234391;1,37
-95,24234775;34,06304697;1,604087001;1,37
-95,03500185;34,03000215;1,608389712;1,37
-94,97405137;34,04296765;1,613954551;1,37
-95,01565342;34,0487046;1,6129219;1,37
-95,23473711;34,06614492;1,605062282;1,37
-95,22463091;34,06161273;1,604718066;1,37
-94,76959345;34,05094201;1,625887401;1,37
-95,00793263;34,0644812;1,616306699;1,37
-94,95306447;34,05094201;1,616536177;1,37
-95,24457483;34,04881934;1,601275897;1,37
-94,02484244;34,06889865;1,667250792;1,37
-95,43277883;34,05099938;1,592096781;1,37
-92,57760682;34,04990936;1,737413659;1,37
-95,40452207;34,05157307;1,593645757;1,37
-96,85633922;34,05031094;1,519409658;1,37
-95,18406495;34,04858986;1,604316479;1,37
-95,87784777;34,05535946;1,570239012;1,37
-95,29234524;34,05742476;1,600472724;1,37
-95,21998742;34,04795879;1,602365917;1,37
-97,33206067;34,04566402;1,494281828;1,37
